docker_persistence_1,0.23%,226.9MiB / 1.946GiB
docker_webui_1,80.58%,337.9MiB / 1.946GiB
docker_image_1,1.32%,284.7MiB / 1.946GiB
docker_db_1,0.19%,118.8MiB / 1.946GiB
docker_recommender_1,31.31%,277.5MiB / 1.946GiB
docker_registry_1,19.67%,63.96MiB / 1.946GiB
docker_auth_1,8.35%,277.9MiB / 1.946GiB
docker_persistence_1,6.14%,227.2MiB / 1.946GiB
docker_webui_1,51.47%,337MiB / 1.946GiB
docker_image_1,18.01%,283.5MiB / 1.946GiB
docker_db_1,0.14%,114.3MiB / 1.946GiB
docker_recommender_1,14.20%,274.8MiB / 1.946GiB
docker_registry_1,10.04%,61.72MiB / 1.946GiB
docker_auth_1,68.66%,282.6MiB / 1.946GiB
docker_persistence_1,27.17%,226.9MiB / 1.946GiB
docker_webui_1,42.36%,340.8MiB / 1.946GiB
docker_image_1,18.01%,286.8MiB / 1.946GiB
docker_db_1,0.25%,114.7MiB / 1.946GiB
docker_recommender_1,9.47%,276.3MiB / 1.946GiB
docker_registry_1,4.02%,60.44MiB / 1.946GiB
docker_auth_1,20.52%,279.4MiB / 1.946GiB
docker_persistence_1,71.46%,227.6MiB / 1.946GiB
docker_webui_1,43.12%,338.6MiB / 1.946GiB
docker_image_1,14.59%,286.9MiB / 1.946GiB
docker_db_1,0.28%,112.9MiB / 1.946GiB
docker_recommender_1,13.14%,271MiB / 1.946GiB
docker_registry_1,2.45%,59.34MiB / 1.946GiB
docker_auth_1,80.46%,279.1MiB / 1.946GiB
docker_persistence_1,18.62%,229.6MiB / 1.946GiB
docker_webui_1,76.99%,333.8MiB / 1.946GiB
docker_image_1,17.70%,287MiB / 1.946GiB
docker_db_1,1.19%,112.7MiB / 1.946GiB
docker_recommender_1,40.06%,265.2MiB / 1.946GiB
docker_registry_1,2.41%,58.52MiB / 1.946GiB
docker_auth_1,24.95%,273.9MiB / 1.946GiB
docker_persistence_1,51.23%,231.9MiB / 1.946GiB
docker_webui_1,59.73%,334.7MiB / 1.946GiB
docker_image_1,29.79%,298MiB / 1.946GiB
docker_db_1,0.44%,112.7MiB / 1.946GiB
docker_recommender_1,57.30%,260.5MiB / 1.946GiB
docker_registry_1,1.78%,58.04MiB / 1.946GiB
docker_auth_1,35.39%,275.1MiB / 1.946GiB
docker_persistence_1,37.97%,235.8MiB / 1.946GiB
docker_webui_1,55.00%,337.6MiB / 1.946GiB
docker_image_1,39.10%,299.2MiB / 1.946GiB
docker_db_1,0.42%,112.7MiB / 1.946GiB
