$0;1776134293473230467;1.15-SNAPSHOT;KIEKER;63694ba7d325;1;false;0;NANOSECONDS;0
$1;1776134349393028960;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170049;1776134342914709084;1776134349392520405;63694ba7d325;1;1
$1;1776134352581883714;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170049;1776134349514154682;1776134352581816652;63694ba7d325;2;1
$1;1776134354391462578;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7880032710503170049;1776134352716022656;1776134354391434535;63694ba7d325;5;1
$1;1776134364365461113;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7880032710503170049;1776134342568605790;1776134364365403516;63694ba7d325;0;0
$1;1776134372209774407;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170050;1776134372171372648;1776134372209703420;63694ba7d325;1;1
$1;1776134372239338459;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170050;1776134372210721680;1776134372239307181;63694ba7d325;2;1
$1;1776134372262578572;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7880032710503170050;1776134372239986167;1776134372262554717;63694ba7d325;5;1
$1;1776134372279294749;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7880032710503170050;1776134372171284427;1776134372279269215;63694ba7d325;0;0
$1;1776134372405073115;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7880032710503170051;1776134372390493481;1776134372405024042;63694ba7d325;1;1
$1;1776134372421289297;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7880032710503170051;1776134372405146901;1776134372421266225;63694ba7d325;2;1
