$0;1776132976121012394;1.15-SNAPSHOT;KIEKER;b8e2aad6759c;1;false;0;NANOSECONDS;0
$1;1776133028500593970;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992257;1776133023480241058;1776133028500047221;b8e2aad6759c;1;1
$1;1776133032593444787;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992257;1776133028708855890;1776133032593408818;b8e2aad6759c;2;1
$1;1776133034760176141;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992257;1776133032710150089;1776133034760145438;b8e2aad6759c;5;1
$1;1776133041025483228;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7522700227568992257;1776133023199875785;1776133041025406141;b8e2aad6759c;0;0
$1;1776133049431013991;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992258;1776133049261096108;1776133049430934010;b8e2aad6759c;1;1
$1;1776133049525008529;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992259;1776133049299171805;1776133049524975794;b8e2aad6759c;1;1
$1;1776133049557697159;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7522700227568992260;1776133049462992116;1776133049557656731;b8e2aad6759c;1;1
$1;1776133049621850580;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992258;1776133049433746771;1776133049621813928;b8e2aad6759c;2;1
$1;1776133049758000666;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992259;1776133049525105263;1776133049757957704;b8e2aad6759c;2;1
$1;1776133049867180517;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992258;1776133049622007888;1776133049867139272;b8e2aad6759c;5;1
$1;1776133049892448306;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7522700227568992260;1776133049569049459;1776133049892403228;b8e2aad6759c;2;1
$1;1776133049979801797;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7522700227568992259;1776133049758138452;1776133049979762022;b8e2aad6759c;5;1
