docker_persistence_1,25.95%,302.6MiB / 1.946GiB
docker_auth_1,22.32%,288.3MiB / 1.946GiB
docker_recommender_1,29.27%,265MiB / 1.946GiB
docker_image_1,32.82%,297.8MiB / 1.946GiB
docker_db_1,0.14%,38.18MiB / 1.946GiB
docker_registry_1,3.54%,80.74MiB / 1.946GiB
docker_webui_1,8.79%,337.5MiB / 1.946GiB
docker_persistence_1,15.36%,299.5MiB / 1.946GiB
docker_auth_1,21.20%,285.1MiB / 1.946GiB
docker_recommender_1,33.63%,260.9MiB / 1.946GiB
docker_image_1,13.59%,297.3MiB / 1.946GiB
docker_db_1,0.14%,38.31MiB / 1.946GiB
docker_registry_1,1.66%,79.26MiB / 1.946GiB
docker_webui_1,48.68%,329.6MiB / 1.946GiB
docker_persistence_1,14.86%,300MiB / 1.946GiB
docker_auth_1,64.67%,289.1MiB / 1.946GiB
docker_recommender_1,15.37%,256.5MiB / 1.946GiB
docker_image_1,31.79%,297.9MiB / 1.946GiB
docker_db_1,0.23%,38.58MiB / 1.946GiB
docker_registry_1,1.68%,79.41MiB / 1.946GiB
docker_webui_1,81.60%,330MiB / 1.946GiB
docker_persistence_1,18.16%,298.3MiB / 1.946GiB
docker_auth_1,29.54%,289.3MiB / 1.946GiB
docker_recommender_1,48.72%,258.4MiB / 1.946GiB
docker_image_1,38.30%,299.6MiB / 1.946GiB
docker_db_1,0.33%,38.49MiB / 1.946GiB
docker_registry_1,7.68%,78.51MiB / 1.946GiB
docker_webui_1,78.35%,333.5MiB / 1.946GiB
docker_persistence_1,27.65%,296.5MiB / 1.946GiB
docker_auth_1,18.51%,275.7MiB / 1.946GiB
docker_recommender_1,6.00%,258.5MiB / 1.946GiB
docker_image_1,33.50%,299.5MiB / 1.946GiB
docker_db_1,0.31%,38.09MiB / 1.946GiB
docker_registry_1,3.54%,76.39MiB / 1.946GiB
docker_webui_1,65.05%,340.4MiB / 1.946GiB
docker_persistence_1,29.93%,291.7MiB / 1.946GiB
docker_auth_1,51.30%,276.7MiB / 1.946GiB
docker_recommender_1,55.71%,250.8MiB / 1.946GiB
docker_image_1,23.21%,299.9MiB / 1.946GiB
docker_db_1,0.37%,39.08MiB / 1.946GiB
docker_registry_1,4.21%,74.91MiB / 1.946GiB
docker_webui_1,49.43%,341.6MiB / 1.946GiB
docker_persistence_1,63.05%,287.8MiB / 1.946GiB
docker_auth_1,49.19%,283.3MiB / 1.946GiB
docker_recommender_1,15.99%,254.4MiB / 1.946GiB
docker_image_1,45.04%,301.1MiB / 1.946GiB
docker_db_1,0.42%,40.07MiB / 1.946GiB
docker_registry_1,5.96%,72.68MiB / 1.946GiB
docker_webui_1,67.80%,350.6MiB / 1.946GiB
docker_persistence_1,25.44%,282.1MiB / 1.946GiB
docker_auth_1,33.00%,276.7MiB / 1.946GiB
docker_recommender_1,50.22%,254.2MiB / 1.946GiB
docker_image_1,52.25%,301.5MiB / 1.946GiB
docker_db_1,0.38%,40.48MiB / 1.946GiB
docker_registry_1,3.06%,71.83MiB / 1.946GiB
docker_webui_1,74.72%,358.7MiB / 1.946GiB
docker_persistence_1,54.15%,282.7MiB / 1.946GiB
docker_auth_1,40.40%,264.2MiB / 1.946GiB
docker_recommender_1,12.61%,253.9MiB / 1.946GiB
docker_image_1,63.91%,301.7MiB / 1.946GiB
docker_db_1,0.29%,38.73MiB / 1.946GiB
docker_registry_1,2.60%,70.14MiB / 1.946GiB
docker_webui_1,74.84%,380.8MiB / 1.946GiB
docker_persistence_1,0.30%,272.1MiB / 1.946GiB
docker_auth_1,42.51%,254.6MiB / 1.946GiB
docker_recommender_1,2.00%,249.6MiB / 1.946GiB
docker_image_1,84.34%,298.1MiB / 1.946GiB
docker_db_1,0.11%,34.32MiB / 1.946GiB
docker_registry_1,3.56%,65.91MiB / 1.946GiB
docker_webui_1,78.05%,425.7MiB / 1.946GiB
docker_persistence_1,51.22%,275.7MiB / 1.946GiB
docker_auth_1,16.84%,254.2MiB / 1.946GiB
docker_recommender_1,64.32%,250.9MiB / 1.946GiB
docker_image_1,18.24%,291.7MiB / 1.946GiB
docker_db_1,1.74%,34.78MiB / 1.946GiB
docker_registry_1,4.59%,65.74MiB / 1.946GiB
docker_webui_1,161.15%,448.7MiB / 1.946GiB
docker_persistence_1,46.38%,330.3MiB / 1.946GiB
docker_auth_1,47.00%,244.3MiB / 1.946GiB
docker_recommender_1,24.38%,248.5MiB / 1.946GiB
docker_image_1,46.55%,285MiB / 1.946GiB
docker_db_1,5.88%,37.98MiB / 1.946GiB
docker_registry_1,2.07%,62.39MiB / 1.946GiB
docker_webui_1,55.42%,446.8MiB / 1.946GiB
docker_persistence_1,46.58%,398.6MiB / 1.946GiB
docker_auth_1,51.63%,244.6MiB / 1.946GiB
docker_recommender_1,8.12%,197.8MiB / 1.946GiB
docker_image_1,53.64%,278.3MiB / 1.946GiB
docker_db_1,0.63%,33.71MiB / 1.946GiB
docker_registry_1,4.07%,52.31MiB / 1.946GiB
