docker_registry_1,26.44%,94.35MiB / 1.946GiB
docker_persistence_1,14.86%,297.7MiB / 1.946GiB
docker_webui_1,32.12%,327MiB / 1.946GiB
docker_db_1,0.20%,46.95MiB / 1.946GiB
docker_recommender_1,10.88%,244.3MiB / 1.946GiB
docker_image_1,7.15%,308.9MiB / 1.946GiB
docker_auth_1,7.01%,268.6MiB / 1.946GiB
docker_registry_1,3.92%,95.04MiB / 1.946GiB
docker_persistence_1,17.44%,298.8MiB / 1.946GiB
docker_webui_1,67.75%,325.6MiB / 1.946GiB
docker_db_1,0.24%,46.77MiB / 1.946GiB
docker_recommender_1,55.31%,241.6MiB / 1.946GiB
docker_image_1,27.39%,304.2MiB / 1.946GiB
docker_auth_1,40.66%,269.2MiB / 1.946GiB
docker_registry_1,59.78%,95.08MiB / 1.946GiB
docker_persistence_1,27.90%,299.2MiB / 1.946GiB
docker_webui_1,69.43%,331.6MiB / 1.946GiB
docker_db_1,0.21%,45.41MiB / 1.946GiB
docker_recommender_1,17.72%,241.7MiB / 1.946GiB
docker_image_1,21.84%,303.4MiB / 1.946GiB
docker_auth_1,10.22%,270.4MiB / 1.946GiB
docker_registry_1,2.36%,95.76MiB / 1.946GiB
docker_persistence_1,40.39%,300.6MiB / 1.946GiB
docker_webui_1,67.34%,333.6MiB / 1.946GiB
docker_db_1,0.31%,45.41MiB / 1.946GiB
docker_recommender_1,0.33%,235.5MiB / 1.946GiB
docker_image_1,18.62%,307.1MiB / 1.946GiB
docker_auth_1,44.44%,264.9MiB / 1.946GiB
docker_registry_1,2.68%,91.01MiB / 1.946GiB
docker_persistence_1,35.25%,300.3MiB / 1.946GiB
docker_webui_1,103.24%,347.1MiB / 1.946GiB
docker_db_1,1.96%,42.63MiB / 1.946GiB
docker_recommender_1,18.98%,236.7MiB / 1.946GiB
docker_image_1,30.14%,305.7MiB / 1.946GiB
docker_auth_1,38.78%,258.4MiB / 1.946GiB
docker_registry_1,1.20%,86.11MiB / 1.946GiB
docker_persistence_1,18.16%,299MiB / 1.946GiB
docker_webui_1,152.74%,360.9MiB / 1.946GiB
docker_db_1,0.31%,40.35MiB / 1.946GiB
docker_recommender_1,0.83%,233.6MiB / 1.946GiB
docker_image_1,30.04%,301.1MiB / 1.946GiB
docker_auth_1,18.39%,258.3MiB / 1.946GiB
docker_registry_1,3.63%,79.24MiB / 1.946GiB
docker_persistence_1,13.22%,289.6MiB / 1.946GiB
docker_webui_1,105.50%,374.4MiB / 1.946GiB
docker_db_1,0.18%,37.07MiB / 1.946GiB
docker_recommender_1,7.13%,226MiB / 1.946GiB
docker_image_1,4.08%,294.1MiB / 1.946GiB
docker_registry_1,9.17%,80.85MiB / 1.946GiB
docker_persistence_1,0.36%,289.6MiB / 1.946GiB
docker_webui_1,165.27%,396.2MiB / 1.946GiB
docker_db_1,0.13%,37.07MiB / 1.946GiB
docker_recommender_1,16.80%,227.8MiB / 1.946GiB
docker_image_1,20.56%,294.8MiB / 1.946GiB
