timestamp,status,response_time_ms,http_code
1776117203914,up,405,200
1776117205799,up,505,200
1776117207763,up,64,200
1776117208858,up,127,200
1776117210022,up,125,200
1776117211214,up,100,200
1776117212367,up,91,200
1776117213489,up,198,200
1776117214717,up,78,200
1776117215828,up,105,200
1776117216968,up,46,200
1776117218042,up,118,200
1776117219223,up,303,200
1776117220568,up,153,200
1776117221773,up,128,200
1776117222926,up,87,200
1776117224066,up,126,200
1776117225258,up,80,200
1776117226372,up,566,200
1776117227985,up,504,200
1776117229525,down,5001,000
1776117235577,degraded,4052,500
1776117240672,down,5001,000
1776117246707,degraded,786,500
1776117248526,degraded,253,500
1776117249823,degraded,808,500
1776117251688,degraded,556,500
1776117253290,degraded,2475,500
1776117256807,down,5002,000
1776117262865,degraded,1899,500
1776117265789,down,5002,000
1776117271917,down,5001,000
1776117278000,down,5003,000
1776117284067,down,5001,000
1776117290127,down,5001,000
1776117296231,down,5001,000
1776117302303,down,5000,000
1776117308385,down,5000,000
1776117314458,down,4999,000
1776117320562,down,5003,000
1776117327170,down,5000,000
1776117334183,down,5001,000
