$0;1776122886951437465;1.15-SNAPSHOT;KIEKER;144d1eda50ca;1;false;0;NANOSECONDS;0
$1;1776122998724299129;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8473804173874298881;1776122996598179229;1776122998723851066;144d1eda50ca;1;1
$1;1776123000861331891;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8473804173874298881;1776122998770246441;1776123000861277607;144d1eda50ca;2;1
$1;1776123002730602516;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8473804173874298881;1776123000897206318;1776123002730537361;144d1eda50ca;5;1
$1;1776123006472332081;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8473804173874298882;1776123006388318898;1776123006472296614;144d1eda50ca;1;1
$1;1776123006597327249;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8473804173874298882;1776123006472428420;1776123006597291533;144d1eda50ca;2;1
$1;1776123006655371136;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8473804173874298882;1776123006597466579;1776123006655338555;144d1eda50ca;5;1
$1;1776123010058669128;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8473804173874298881;1776122996520536135;1776123010058601959;144d1eda50ca;0;0
$1;1776123010083837189;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8473804173874298882;1776123006388267887;1776123010083802747;144d1eda50ca;0;0
$1;1776123010458134034;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8473804173874298883;1776123010324672919;1776123010458099626;144d1eda50ca;1;1
$1;1776123010503293070;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8473804173874298883;1776123010458278489;1776123010503260479;144d1eda50ca;2;1
