timestamp,status,response_time_ms,http_code
1776139070351,up,237,200
1776139071858,up,201,200
1776139073377,up,66,200
1776139074480,up,171,200
1776139075683,up,77,200
1776139076793,up,141,200
1776139077973,up,80,200
1776139079099,up,47,200
1776139080172,up,285,200
1776139081516,up,70,200
1776139082631,up,225,200
1776139083906,up,54,200
1776139085026,up,242,200
1776139086333,up,417,200
1776139087807,up,369,200
1776139089225,up,399,200
1776139090667,up,977,200
1776139092689,up,343,200
1776139094070,up,346,200
1776139095459,down,5001,000
1776139101509,down,5001,000
1776139107584,degraded,3363,500
1776139111977,degraded,2129,500
1776139115167,degraded,2323,500
1776139118522,degraded,4776,500
1776139124364,down,5002,000
1776139130401,down,5002,000
1776139136483,down,5001,000
1776139142529,down,5001,000
1776139148596,down,5001,000
1776139154669,down,5001,000
1776139160722,down,5000,000
1776139166782,down,5000,000
1776139172870,down,5000,000
1776139178967,down,5001,000
1776139186194,down,5001,000
1776139192491,down,5002,000
1776139198532,down,5001,000
