docker_registry_1,38.78%,109.7MiB / 1.946GiB
docker_persistence_1,2.78%,246MiB / 1.946GiB
docker_webui_1,44.15%,345.7MiB / 1.946GiB
docker_auth_1,2.01%,307.8MiB / 1.946GiB
docker_recommender_1,62.58%,263.9MiB / 1.946GiB
docker_db_1,0.11%,32.55MiB / 1.946GiB
docker_image_1,16.24%,287.2MiB / 1.946GiB
docker_registry_1,33.60%,111MiB / 1.946GiB
docker_persistence_1,21.67%,246MiB / 1.946GiB
docker_webui_1,33.22%,353.1MiB / 1.946GiB
docker_auth_1,24.49%,296.2MiB / 1.946GiB
docker_recommender_1,11.57%,253.3MiB / 1.946GiB
docker_db_1,0.19%,31.87MiB / 1.946GiB
docker_image_1,5.32%,287MiB / 1.946GiB
docker_registry_1,6.47%,102.8MiB / 1.946GiB
docker_persistence_1,25.17%,245MiB / 1.946GiB
docker_webui_1,77.16%,354.3MiB / 1.946GiB
docker_auth_1,57.16%,298.9MiB / 1.946GiB
docker_recommender_1,0.69%,253MiB / 1.946GiB
docker_db_1,0.22%,31.85MiB / 1.946GiB
docker_image_1,41.42%,284.4MiB / 1.946GiB
docker_registry_1,3.24%,102.9MiB / 1.946GiB
docker_persistence_1,26.98%,248.9MiB / 1.946GiB
docker_webui_1,56.14%,356.4MiB / 1.946GiB
docker_auth_1,82.76%,303.1MiB / 1.946GiB
docker_recommender_1,9.06%,255MiB / 1.946GiB
docker_db_1,0.27%,31.71MiB / 1.946GiB
docker_image_1,14.73%,286.3MiB / 1.946GiB
docker_registry_1,0.71%,96.2MiB / 1.946GiB
docker_persistence_1,43.66%,242.3MiB / 1.946GiB
docker_webui_1,56.88%,361.7MiB / 1.946GiB
docker_auth_1,38.43%,300.7MiB / 1.946GiB
docker_recommender_1,46.13%,259.3MiB / 1.946GiB
docker_db_1,0.32%,30.31MiB / 1.946GiB
docker_image_1,41.13%,283.4MiB / 1.946GiB
docker_registry_1,1.10%,89.07MiB / 1.946GiB
docker_persistence_1,34.91%,242.4MiB / 1.946GiB
docker_webui_1,77.69%,378.8MiB / 1.946GiB
docker_auth_1,53.59%,315.3MiB / 1.946GiB
docker_recommender_1,19.75%,257.1MiB / 1.946GiB
docker_db_1,0.33%,28.11MiB / 1.946GiB
docker_image_1,25.88%,279MiB / 1.946GiB
docker_registry_1,7.59%,81.93MiB / 1.946GiB
docker_persistence_1,32.62%,237.4MiB / 1.946GiB
docker_webui_1,84.10%,392.1MiB / 1.946GiB
docker_recommender_1,4.48%,245.2MiB / 1.946GiB
docker_db_1,0.42%,27MiB / 1.946GiB
docker_image_1,14.79%,280.4MiB / 1.946GiB
docker_registry_1,5.70%,82.24MiB / 1.946GiB
docker_persistence_1,30.34%,238.2MiB / 1.946GiB
docker_webui_1,112.44%,444.6MiB / 1.946GiB
docker_recommender_1,15.71%,265MiB / 1.946GiB
docker_db_1,0.37%,27.65MiB / 1.946GiB
docker_image_1,27.78%,281.1MiB / 1.946GiB
docker_registry_1,48.52%,85.37MiB / 1.946GiB
docker_persistence_1,33.83%,243.6MiB / 1.946GiB
docker_webui_1,99.18%,463.9MiB / 1.946GiB
docker_recommender_1,3.03%,265.2MiB / 1.946GiB
docker_db_1,0.30%,27.65MiB / 1.946GiB
docker_image_1,24.59%,281.6MiB / 1.946GiB
docker_registry_1,1.02%,85.86MiB / 1.946GiB
docker_persistence_1,32.33%,244.7MiB / 1.946GiB
docker_webui_1,121.36%,489.3MiB / 1.946GiB
docker_db_1,0.31%,27.6MiB / 1.946GiB
docker_image_1,22.70%,283.8MiB / 1.946GiB
docker_registry_1,8.90%,85.92MiB / 1.946GiB
docker_persistence_1,57.33%,251.2MiB / 1.946GiB
docker_webui_1,99.77%,524.7MiB / 1.946GiB
docker_db_1,1.08%,27.6MiB / 1.946GiB
docker_image_1,16.99%,284.2MiB / 1.946GiB
docker_registry_1,11.44%,87.87MiB / 1.946GiB
docker_persistence_1,30.36%,252.6MiB / 1.946GiB
docker_webui_1,128.34%,557.9MiB / 1.946GiB
docker_db_1,0.46%,27.6MiB / 1.946GiB
docker_image_1,39.55%,285.9MiB / 1.946GiB
docker_registry_1,6.03%,90.31MiB / 1.946GiB
docker_persistence_1,22.29%,260.4MiB / 1.946GiB
docker_webui_1,95.13%,593.6MiB / 1.946GiB
docker_db_1,0.53%,27.6MiB / 1.946GiB
docker_image_1,18.27%,300.1MiB / 1.946GiB
docker_auth_1,50.80%,16.05MiB / 1.946GiB
--,0.00%,0B / 0B
docker_registry_1,11.29%,95.33MiB / 1.946GiB
docker_persistence_1,11.57%,261.4MiB / 1.946GiB
docker_webui_1,62.80%,598.4MiB / 1.946GiB
docker_auth_1,54.36%,53.77MiB / 1.946GiB
docker_recommender_1,62.69%,36.29MiB / 1.946GiB
docker_db_1,0.28%,27.6MiB / 1.946GiB
docker_image_1,13.72%,300.7MiB / 1.946GiB
docker_registry_1,4.91%,97.11MiB / 1.946GiB
docker_persistence_1,28.49%,261.6MiB / 1.946GiB
docker_webui_1,46.70%,623.7MiB / 1.946GiB
docker_auth_1,43.56%,70.16MiB / 1.946GiB
docker_recommender_1,44.35%,51.34MiB / 1.946GiB
docker_db_1,0.32%,27.6MiB / 1.946GiB
docker_image_1,37.23%,300.8MiB / 1.946GiB
docker_registry_1,3.65%,97.34MiB / 1.946GiB
docker_persistence_1,11.97%,261.3MiB / 1.946GiB
