$0;1776123251299619226;1.15-SNAPSHOT;KIEKER;1857f8fc5c39;1;false;0;NANOSECONDS;0
$1;1776123363694613510;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690625;1776123360967937740;1776123363693813641;1857f8fc5c39;1;1
$1;1776123365614732188;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690625;1776123363821071682;1776123365614610808;1857f8fc5c39;2;1
$1;1776123367759733837;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690625;1776123365687150747;1776123367759683615;1857f8fc5c39;5;1
$1;1776123370597692504;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690626;1776123370574046256;1776123370597658263;1857f8fc5c39;1;1
$1;1776123370618015920;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690626;1776123370597792613;1776123370617977408;1857f8fc5c39;2;1
$1;1776123370677361039;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690626;1776123370618143449;1776123370677328660;1857f8fc5c39;5;1
$1;1776123374435937679;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690626;1776123370574012759;1776123374435908370;1857f8fc5c39;0;0
$1;1776123374457617666;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690625;1776123360701824704;1776123374457590793;1857f8fc5c39;0;0
$1;1776123374712540583;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690627;1776123374684790663;1776123374712504253;1857f8fc5c39;1;1
$1;1776123374759278360;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690627;1776123374713203809;1776123374758184218;1857f8fc5c39;2;1
$1;1776123374806940413;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690627;1776123374762488435;1776123374806911676;1857f8fc5c39;5;1
$1;1776123374822550116;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690627;1776123374684765557;1776123374822517344;1857f8fc5c39;0;0
$1;1776123376432668399;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;1813121062481690628;1776123376395118093;1776123376432640134;1857f8fc5c39;1;1
$1;1776123376508627780;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;1813121062481690628;1776123376432765982;1776123376508599413;1857f8fc5c39;2;1
$1;1776123376591638625;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;1813121062481690628;1776123376509483281;1776123376591612688;1857f8fc5c39;5;1
$1;1776123376610590295;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;1813121062481690628;1776123376395096193;1776123376610369331;1857f8fc5c39;0;0
