docker_persistence_1,8.91%,292.7MiB / 1.946GiB
docker_image_1,6.22%,287.3MiB / 1.946GiB
docker_db_1,0.15%,43.32MiB / 1.946GiB
docker_auth_1,77.20%,237.6MiB / 1.946GiB
docker_recommender_1,43.41%,269.9MiB / 1.946GiB
docker_registry_1,61.57%,104.4MiB / 1.946GiB
docker_webui_1,10.30%,351.4MiB / 1.946GiB
docker_persistence_1,10.70%,292.9MiB / 1.946GiB
docker_image_1,74.97%,299.6MiB / 1.946GiB
docker_db_1,0.15%,41.49MiB / 1.946GiB
docker_auth_1,17.94%,237.7MiB / 1.946GiB
docker_recommender_1,18.25%,267.8MiB / 1.946GiB
docker_registry_1,3.40%,93.84MiB / 1.946GiB
docker_webui_1,53.26%,354.5MiB / 1.946GiB
docker_persistence_1,11.45%,294MiB / 1.946GiB
docker_image_1,21.83%,293.7MiB / 1.946GiB
docker_db_1,0.20%,41.49MiB / 1.946GiB
docker_auth_1,12.01%,232.1MiB / 1.946GiB
docker_recommender_1,2.89%,264.5MiB / 1.946GiB
docker_registry_1,2.68%,92MiB / 1.946GiB
docker_webui_1,28.96%,356MiB / 1.946GiB
docker_persistence_1,22.18%,294.6MiB / 1.946GiB
docker_image_1,30.25%,294.2MiB / 1.946GiB
docker_db_1,0.24%,40.43MiB / 1.946GiB
docker_auth_1,25.21%,234.6MiB / 1.946GiB
docker_recommender_1,17.51%,264.9MiB / 1.946GiB
docker_registry_1,1.53%,92.48MiB / 1.946GiB
docker_webui_1,60.41%,361.4MiB / 1.946GiB
docker_persistence_1,17.56%,296.6MiB / 1.946GiB
docker_image_1,5.06%,294.2MiB / 1.946GiB
docker_auth_1,3.33%,232.8MiB / 1.946GiB
docker_recommender_1,3.15%,261.8MiB / 1.946GiB
docker_registry_1,3.60%,86.8MiB / 1.946GiB
docker_webui_1,151.02%,385.9MiB / 1.946GiB
docker_persistence_1,48.15%,294.1MiB / 1.946GiB
docker_image_1,3.57%,290.2MiB / 1.946GiB
docker_auth_1,79.18%,250.4MiB / 1.946GiB
docker_recommender_1,0.48%,255.3MiB / 1.946GiB
docker_registry_1,3.99%,84.41MiB / 1.946GiB
docker_webui_1,68.73%,393.2MiB / 1.946GiB
