$0;1776116713620982472;1.15-SNAPSHOT;KIEKER;db7c4e112cbe;1;false;0;NANOSECONDS;0
$1;1776116825486738711;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6479131751414235137;1776116823190062798;1776116825485985889;db7c4e112cbe;1;1
$1;1776116827709374154;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6479131751414235137;1776116825560340875;1776116827709337645;db7c4e112cbe;2;1
$1;1776116829384676965;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6479131751414235137;1776116827805000282;1776116829384632378;db7c4e112cbe;5;1
$1;1776116833089050566;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6479131751414235138;1776116833027130124;1776116833089004566;db7c4e112cbe;1;1
$1;1776116833155057500;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6479131751414235138;1776116833089211541;1776116833155029241;db7c4e112cbe;2;1
$1;1776116833191808192;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6479131751414235138;1776116833155164899;1776116833191783739;db7c4e112cbe;5;1
$1;1776116834989028362;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6479131751414235138;1776116833027102304;1776116834988977105;db7c4e112cbe;0;0
$1;1776116834991350646;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6479131751414235137;1776116822991196510;1776116834991328016;db7c4e112cbe;0;0
$1;1776116835232245096;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6479131751414235139;1776116835184049007;1776116835232143782;db7c4e112cbe;1;1
$1;1776116835315345879;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6479131751414235139;1776116835232352065;1776116835315310682;db7c4e112cbe;2;1
$1;1776116835383629647;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6479131751414235139;1776116835315481625;1776116835383600890;db7c4e112cbe;5;1
