$0;1776122519463477419;1.15-SNAPSHOT;KIEKER;5096ca5b4267;1;false;0;NANOSECONDS;0
$1;1776122625357222605;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737345;1776122623077255773;1776122625356597727;5096ca5b4267;1;1
$1;1776122626759387427;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737345;1776122625475809591;1776122626759344810;5096ca5b4267;2;1
$1;1776122628871407323;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737345;1776122626917814503;1776122628871350654;5096ca5b4267;5;1
$1;1776122632880567353;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737346;1776122632816958433;1776122632880532923;5096ca5b4267;1;1
$1;1776122632913409458;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737346;1776122632880644838;1776122632913386567;5096ca5b4267;2;1
$1;1776122632956524224;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737346;1776122632913481180;1776122632956498471;5096ca5b4267;5;1
$1;1776122634074080846;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737346;1776122632816900519;1776122634074055383;5096ca5b4267;0;0
$1;1776122634083943743;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737345;1776122623014925189;1776122634083919488;5096ca5b4267;0;0
$1;1776122634169305692;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737347;1776122634153635556;1776122634169283889;5096ca5b4267;1;1
$1;1776122634187781828;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737347;1776122634169781076;1776122634187759463;5096ca5b4267;2;1
$1;1776122634218226719;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737347;1776122634188497179;1776122634218183739;5096ca5b4267;5;1
$1;1776122634222406973;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737347;1776122634153607554;1776122634222389537;5096ca5b4267;0;0
$1;1776122636279173022;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737348;1776122636120587378;1776122636279143444;5096ca5b4267;1;1
$1;1776122636370204053;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737348;1776122636279653119;1776122636370171918;5096ca5b4267;2;1
$1;1776122636412839037;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737348;1776122636370747877;1776122636412816237;5096ca5b4267;5;1
$1;1776122636425063964;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737348;1776122636120540691;1776122636425041373;5096ca5b4267;0;0
$1;1776122637670440426;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737349;1776122637649186715;1776122637670415748;5096ca5b4267;1;1
$1;1776122637691017274;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737349;1776122637670899967;1776122637690993603;5096ca5b4267;2;1
$1;1776122637715473820;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7968978803143737349;1776122637691397074;1776122637715450684;5096ca5b4267;5;1
$1;1776122637728788539;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7968978803143737349;1776122637649153648;1776122637728763092;5096ca5b4267;0;0
$1;1776122638814498955;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737350;1776122638799652724;1776122638814474955;5096ca5b4267;1;1
$1;1776122638834329584;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737350;1776122638814574815;1776122638834307959;5096ca5b4267;2;1
$1;1776122638867643695;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7968978803143737351;1776122638854527197;1776122638867620176;5096ca5b4267;1;1
$1;1776122638881697238;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7968978803143737351;1776122638867714374;1776122638881673839;5096ca5b4267;2;1
