$0;1776125272062509830;1.15-SNAPSHOT;KIEKER;61f108b5a914;1;false;0;NANOSECONDS;0
$1;1776125383658752290;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8299008213336981505;1776125381316245141;1776125383658088406;61f108b5a914;1;1
$1;1776125385694559839;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8299008213336981505;1776125383694327746;1776125385694529956;61f108b5a914;2;1
$1;1776125387511228730;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8299008213336981505;1776125385729711983;1776125387511186530;61f108b5a914;5;1
$1;1776125391302758228;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8299008213336981506;1776125391268360360;1776125391302730100;61f108b5a914;1;1
$1;1776125391334312334;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8299008213336981506;1776125391302844159;1776125391334286879;61f108b5a914;2;1
$1;1776125391393127260;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8299008213336981506;1776125391334512948;1776125391393104784;61f108b5a914;5;1
$1;1776125393496404764;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8299008213336981506;1776125391268337980;1776125393496369061;61f108b5a914;0;0
$1;1776125393503004778;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8299008213336981505;1776125381250653432;1776125393502979023;61f108b5a914;0;0
$1;1776125393696686906;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8299008213336981507;1776125393675272377;1776125393696656004;61f108b5a914;1;1
$1;1776125393708394485;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8299008213336981507;1776125393697571848;1776125393708359222;61f108b5a914;2;1
$1;1776125393723574060;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8299008213336981507;1776125393709074704;1776125393723550789;61f108b5a914;5;1
$1;1776125393733146710;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8299008213336981507;1776125393675198988;1776125393733118292;61f108b5a914;0;0
$1;1776125395325449136;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8299008213336981508;1776125395302025723;1776125395325399024;61f108b5a914;1;1
