docker_db_1,0.12%,39.29MiB / 1.946GiB
docker_image_1,37.26%,307.1MiB / 1.946GiB
docker_persistence_1,2.61%,278.5MiB / 1.946GiB
docker_webui_1,80.20%,360.9MiB / 1.946GiB
docker_auth_1,8.16%,230.4MiB / 1.946GiB
docker_recommender_1,13.50%,264.8MiB / 1.946GiB
docker_registry_1,25.65%,104.6MiB / 1.946GiB
docker_db_1,0.16%,38.05MiB / 1.946GiB
docker_image_1,7.03%,306.4MiB / 1.946GiB
docker_persistence_1,3.29%,272.8MiB / 1.946GiB
docker_webui_1,77.73%,371.2MiB / 1.946GiB
docker_auth_1,6.14%,230.8MiB / 1.946GiB
docker_recommender_1,3.21%,264.9MiB / 1.946GiB
docker_registry_1,1.75%,97.95MiB / 1.946GiB
docker_db_1,0.20%,37.93MiB / 1.946GiB
docker_image_1,16.07%,306.2MiB / 1.946GiB
docker_persistence_1,13.99%,271.6MiB / 1.946GiB
docker_webui_1,58.23%,373.6MiB / 1.946GiB
docker_auth_1,12.31%,232.8MiB / 1.946GiB
docker_recommender_1,4.95%,262.7MiB / 1.946GiB
docker_registry_1,3.09%,96.3MiB / 1.946GiB
docker_db_1,0.27%,37.92MiB / 1.946GiB
docker_image_1,26.97%,306.3MiB / 1.946GiB
docker_persistence_1,68.43%,272.3MiB / 1.946GiB
docker_webui_1,37.38%,375.3MiB / 1.946GiB
docker_auth_1,15.91%,232.4MiB / 1.946GiB
docker_recommender_1,59.10%,262.8MiB / 1.946GiB
docker_registry_1,2.79%,95.62MiB / 1.946GiB
docker_db_1,0.40%,37.58MiB / 1.946GiB
docker_image_1,15.77%,297.2MiB / 1.946GiB
docker_persistence_1,44.87%,272MiB / 1.946GiB
docker_webui_1,99.79%,388.3MiB / 1.946GiB
docker_auth_1,32.35%,232.2MiB / 1.946GiB
docker_recommender_1,2.72%,264.7MiB / 1.946GiB
docker_registry_1,3.71%,89.97MiB / 1.946GiB
docker_db_1,3.30%,38.52MiB / 1.946GiB
docker_image_1,37.42%,293.8MiB / 1.946GiB
docker_persistence_1,31.89%,269.7MiB / 1.946GiB
docker_webui_1,44.86%,401.9MiB / 1.946GiB
docker_auth_1,44.38%,233.2MiB / 1.946GiB
docker_recommender_1,10.13%,258.6MiB / 1.946GiB
docker_registry_1,3.15%,85.79MiB / 1.946GiB
docker_db_1,0.36%,38.39MiB / 1.946GiB
docker_image_1,37.82%,291.6MiB / 1.946GiB
docker_persistence_1,39.99%,268.3MiB / 1.946GiB
docker_webui_1,41.06%,432.5MiB / 1.946GiB
docker_auth_1,32.66%,241.9MiB / 1.946GiB
docker_recommender_1,1.22%,246.3MiB / 1.946GiB
docker_registry_1,37.75%,81.62MiB / 1.946GiB
docker_db_1,0.44%,34.15MiB / 1.946GiB
docker_image_1,56.86%,288.2MiB / 1.946GiB
docker_persistence_1,32.58%,267.2MiB / 1.946GiB
docker_webui_1,59.26%,460.9MiB / 1.946GiB
docker_auth_1,51.99%,242MiB / 1.946GiB
docker_recommender_1,0.46%,233MiB / 1.946GiB
docker_registry_1,11.59%,81.61MiB / 1.946GiB
docker_db_1,0.48%,32.59MiB / 1.946GiB
docker_image_1,27.91%,285.6MiB / 1.946GiB
docker_persistence_1,45.70%,266.9MiB / 1.946GiB
docker_webui_1,100.80%,477.5MiB / 1.946GiB
docker_auth_1,30.27%,242.2MiB / 1.946GiB
docker_recommender_1,3.41%,225.2MiB / 1.946GiB
docker_registry_1,2.12%,79.03MiB / 1.946GiB
docker_db_1,0.52%,29.14MiB / 1.946GiB
docker_image_1,18.52%,264.5MiB / 1.946GiB
docker_persistence_1,18.32%,267.1MiB / 1.946GiB
docker_webui_1,51.21%,486.2MiB / 1.946GiB
docker_auth_1,70.56%,282.6MiB / 1.946GiB
docker_recommender_1,22.43%,210.8MiB / 1.946GiB
docker_registry_1,2.14%,75.91MiB / 1.946GiB
docker_db_1,0.12%,28.59MiB / 1.946GiB
docker_image_1,44.97%,260.2MiB / 1.946GiB
docker_persistence_1,18.93%,266.6MiB / 1.946GiB
docker_webui_1,54.84%,481.4MiB / 1.946GiB
