timestamp,status,response_time_ms,http_code
1776120672779,up,266,200
1776120674251,up,70,200
1776120675621,up,121,200
1776120676789,up,197,200
1776120678028,up,74,200
1776120679154,up,99,200
1776120680297,up,70,200
1776120681400,up,71,200
1776120682519,up,79,200
1776120683630,up,150,200
1776120684811,up,64,200
1776120685906,up,35,200
1776120686967,up,79,200
1776120688081,up,77,200
1776120689191,up,115,200
1776120690368,up,268,200
1776120691685,up,849,200
1776120693607,up,488,200
1776120695171,up,567,200
1776120696795,up,190,200
1776120698083,up,378,200
1776120699511,up,231,200
1776120700777,up,554,200
1776120702365,up,328,200
1776120703725,up,104,200
1776120704891,up,154,200
1776120706091,up,1285,200
1776120708412,down,5002,000
1776120714517,down,5001,000
1776120720623,down,5001,000
1776120726729,down,5001,000
1776120733761,down,5002,000
1776120740017,down,5001,000
1776120746099,down,5001,000
1776120752129,down,5001,000
1776120758219,down,5001,000
1776120764304,down,5002,000
1776120770475,down,5001,000
1776120776795,down,5002,000
1776120783225,down,5014,000
1776120789754,down,5001,000
1776120795872,down,5001,000
1776120801922,down,5001,000
