$0;1776120550930897064;1.15-SNAPSHOT;KIEKER;c63a755bca09;1;false;0;NANOSECONDS;0
$1;1776120661699623184;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;400679629347618817;1776120659420337750;1776120661699140672;c63a755bca09;1;1
$1;1776120664470290831;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;400679629347618817;1776120661730187120;1776120664470225673;c63a755bca09;2;1
$1;1776120665825678923;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;400679629347618817;1776120664599188882;1776120665825642041;c63a755bca09;5;1
$1;1776120669078803363;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;400679629347618818;1776120668921295878;1776120669078767436;c63a755bca09;1;1
$1;1776120669126416816;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;400679629347618818;1776120669078897788;1776120669126393746;c63a755bca09;2;1
$1;1776120669177227846;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;400679629347618818;1776120669126508110;1776120669177200273;c63a755bca09;5;1
$1;1776120672729458589;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;400679629347618818;1776120668921240463;1776120672729374642;c63a755bca09;0;0
$1;1776120672733029499;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;400679629347618817;1776120659251039823;1776120672733010991;c63a755bca09;0;0
$1;1776120672911238073;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;400679629347618819;1776120672838681202;1776120672911207825;c63a755bca09;1;1
$1;1776120672993166147;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;400679629347618819;1776120672911324077;1776120672993125262;c63a755bca09;2;1
