docker_registry_1,32.48%,92.02MiB / 1.946GiB
docker_webui_1,60.86%,334.9MiB / 1.946GiB
docker_db_1,0.11%,33.72MiB / 1.946GiB
docker_auth_1,42.17%,213.2MiB / 1.946GiB
docker_image_1,12.56%,414.7MiB / 1.946GiB
docker_persistence_1,5.28%,236.7MiB / 1.946GiB
docker_recommender_1,19.38%,266.7MiB / 1.946GiB
docker_registry_1,3.88%,86.11MiB / 1.946GiB
docker_webui_1,36.45%,337.2MiB / 1.946GiB
docker_db_1,0.26%,32.61MiB / 1.946GiB
docker_auth_1,24.10%,211.7MiB / 1.946GiB
docker_image_1,16.17%,414.6MiB / 1.946GiB
docker_persistence_1,2.80%,232.5MiB / 1.946GiB
docker_recommender_1,10.84%,259.5MiB / 1.946GiB
docker_registry_1,5.67%,99.55MiB / 1.946GiB
docker_webui_1,80.15%,332.4MiB / 1.946GiB
docker_db_1,0.22%,32.21MiB / 1.946GiB
docker_auth_1,7.83%,211.1MiB / 1.946GiB
docker_image_1,14.42%,413.4MiB / 1.946GiB
docker_persistence_1,12.42%,231.9MiB / 1.946GiB
docker_recommender_1,7.40%,256.5MiB / 1.946GiB
docker_registry_1,3.61%,102.8MiB / 1.946GiB
docker_webui_1,34.71%,336.6MiB / 1.946GiB
docker_db_1,0.27%,32.1MiB / 1.946GiB
docker_auth_1,20.65%,211MiB / 1.946GiB
docker_image_1,13.29%,413.7MiB / 1.946GiB
docker_persistence_1,22.57%,232.2MiB / 1.946GiB
docker_recommender_1,18.58%,257.1MiB / 1.946GiB
docker_registry_1,1.84%,101.4MiB / 1.946GiB
docker_webui_1,30.16%,340.9MiB / 1.946GiB
docker_db_1,0.34%,30.24MiB / 1.946GiB
docker_auth_1,33.81%,214.3MiB / 1.946GiB
docker_image_1,51.60%,410.3MiB / 1.946GiB
docker_persistence_1,34.69%,229.2MiB / 1.946GiB
docker_recommender_1,41.03%,272.7MiB / 1.946GiB
docker_registry_1,4.84%,95.52MiB / 1.946GiB
docker_webui_1,31.06%,371.1MiB / 1.946GiB
docker_db_1,0.25%,27.2MiB / 1.946GiB
docker_auth_1,7.55%,212.8MiB / 1.946GiB
docker_image_1,17.04%,398.1MiB / 1.946GiB
docker_persistence_1,3.99%,228.8MiB / 1.946GiB
docker_recommender_1,6.65%,269.2MiB / 1.946GiB
docker_registry_1,5.45%,89.44MiB / 1.946GiB
docker_webui_1,30.27%,403.8MiB / 1.946GiB
docker_db_1,0.09%,27.26MiB / 1.946GiB
docker_auth_1,7.18%,212.2MiB / 1.946GiB
docker_image_1,13.65%,384MiB / 1.946GiB
docker_persistence_1,0.30%,228.2MiB / 1.946GiB
docker_recommender_1,16.70%,263.7MiB / 1.946GiB
docker_registry_1,1.96%,86.78MiB / 1.946GiB
docker_webui_1,31.95%,412.7MiB / 1.946GiB
docker_db_1,0.30%,28.31MiB / 1.946GiB
docker_auth_1,53.47%,213.1MiB / 1.946GiB
docker_image_1,34.19%,378.1MiB / 1.946GiB
docker_persistence_1,22.16%,228.2MiB / 1.946GiB
docker_recommender_1,3.72%,260.8MiB / 1.946GiB
docker_registry_1,1.38%,85.36MiB / 1.946GiB
docker_webui_1,29.47%,418.1MiB / 1.946GiB
docker_db_1,0.23%,26.48MiB / 1.946GiB
docker_auth_1,6.86%,212MiB / 1.946GiB
docker_image_1,14.10%,379.7MiB / 1.946GiB
docker_persistence_1,10.60%,231.3MiB / 1.946GiB
docker_recommender_1,2.24%,259.7MiB / 1.946GiB
docker_registry_1,3.56%,82.83MiB / 1.946GiB
docker_webui_1,31.27%,453MiB / 1.946GiB
docker_db_1,0.15%,23.95MiB / 1.946GiB
docker_auth_1,8.53%,213.5MiB / 1.946GiB
docker_image_1,21.83%,368MiB / 1.946GiB
docker_persistence_1,8.64%,230MiB / 1.946GiB
docker_recommender_1,14.18%,243.4MiB / 1.946GiB
docker_registry_1,4.81%,82.56MiB / 1.946GiB
docker_webui_1,30.91%,454.8MiB / 1.946GiB
docker_db_1,0.15%,23.84MiB / 1.946GiB
docker_auth_1,5.35%,214.2MiB / 1.946GiB
docker_image_1,2.24%,366.4MiB / 1.946GiB
docker_persistence_1,22.76%,229.8MiB / 1.946GiB
docker_recommender_1,19.13%,240.9MiB / 1.946GiB
docker_registry_1,2.08%,80.52MiB / 1.946GiB
docker_webui_1,30.90%,455.1MiB / 1.946GiB
docker_db_1,0.11%,22.64MiB / 1.946GiB
docker_auth_1,20.98%,211.7MiB / 1.946GiB
docker_image_1,5.40%,363.2MiB / 1.946GiB
docker_persistence_1,16.20%,231.9MiB / 1.946GiB
docker_recommender_1,38.95%,245.4MiB / 1.946GiB
docker_registry_1,2.07%,80.63MiB / 1.946GiB
docker_webui_1,32.79%,458.2MiB / 1.946GiB
docker_db_1,0.12%,22.64MiB / 1.946GiB
docker_auth_1,4.19%,212MiB / 1.946GiB
docker_image_1,1.15%,366.1MiB / 1.946GiB
docker_persistence_1,29.01%,235.1MiB / 1.946GiB
docker_recommender_1,11.34%,244.9MiB / 1.946GiB
docker_registry_1,8.05%,79.89MiB / 1.946GiB
docker_webui_1,30.39%,457.9MiB / 1.946GiB
docker_db_1,0.17%,21.99MiB / 1.946GiB
docker_auth_1,0.30%,210.5MiB / 1.946GiB
docker_image_1,9.51%,358.9MiB / 1.946GiB
docker_persistence_1,0.24%,232.4MiB / 1.946GiB
docker_recommender_1,6.37%,237.1MiB / 1.946GiB
docker_registry_1,2.60%,79.92MiB / 1.946GiB
docker_webui_1,30.60%,458.6MiB / 1.946GiB
docker_db_1,0.11%,21.99MiB / 1.946GiB
docker_auth_1,7.56%,210.5MiB / 1.946GiB
docker_image_1,5.36%,364.8MiB / 1.946GiB
docker_persistence_1,3.71%,234.2MiB / 1.946GiB
docker_recommender_1,11.28%,238.8MiB / 1.946GiB
docker_registry_1,4.12%,79.34MiB / 1.946GiB
docker_webui_1,29.93%,486.1MiB / 1.946GiB
docker_db_1,0.12%,21.21MiB / 1.946GiB
docker_auth_1,0.53%,206.7MiB / 1.946GiB
docker_image_1,37.93%,375.4MiB / 1.946GiB
docker_persistence_1,0.39%,232.1MiB / 1.946GiB
docker_recommender_1,5.72%,219.6MiB / 1.946GiB
docker_registry_1,1.95%,78.94MiB / 1.946GiB
docker_webui_1,30.09%,488.1MiB / 1.946GiB
docker_db_1,0.13%,20.96MiB / 1.946GiB
docker_auth_1,18.86%,207.8MiB / 1.946GiB
docker_image_1,3.01%,373.6MiB / 1.946GiB
