docker_webui_1,11.77%,341.1MiB / 1.946GiB
docker_persistence_1,7.69%,294.8MiB / 1.946GiB
docker_registry_1,2.78%,79.8MiB / 1.946GiB
docker_auth_1,38.00%,231.3MiB / 1.946GiB
docker_db_1,0.10%,35.42MiB / 1.946GiB
docker_image_1,38.45%,319.4MiB / 1.946GiB
docker_recommender_1,20.46%,289.9MiB / 1.946GiB
docker_webui_1,30.29%,341.7MiB / 1.946GiB
docker_persistence_1,16.07%,291MiB / 1.946GiB
docker_registry_1,34.89%,86.44MiB / 1.946GiB
docker_auth_1,11.59%,225.1MiB / 1.946GiB
docker_db_1,0.16%,34.39MiB / 1.946GiB
docker_image_1,9.38%,318.8MiB / 1.946GiB
docker_recommender_1,7.94%,286.2MiB / 1.946GiB
docker_webui_1,63.22%,347.7MiB / 1.946GiB
docker_persistence_1,22.97%,291.7MiB / 1.946GiB
docker_registry_1,5.54%,86.29MiB / 1.946GiB
docker_auth_1,26.09%,224.3MiB / 1.946GiB
docker_db_1,0.21%,33.02MiB / 1.946GiB
docker_image_1,23.93%,319.6MiB / 1.946GiB
docker_recommender_1,14.17%,278.6MiB / 1.946GiB
docker_webui_1,100.01%,348.7MiB / 1.946GiB
docker_persistence_1,50.51%,294.8MiB / 1.946GiB
docker_registry_1,3.98%,85.79MiB / 1.946GiB
docker_auth_1,22.29%,223.8MiB / 1.946GiB
docker_db_1,0.28%,31.27MiB / 1.946GiB
docker_image_1,35.40%,319.7MiB / 1.946GiB
docker_recommender_1,5.99%,276.4MiB / 1.946GiB
docker_webui_1,75.94%,252.8MiB / 256MiB
docker_persistence_1,17.83%,288.8MiB / 1.946GiB
docker_registry_1,48.10%,86.45MiB / 1.946GiB
docker_auth_1,33.01%,226.7MiB / 1.946GiB
docker_db_1,0.27%,29.57MiB / 1.946GiB
docker_image_1,23.70%,319.7MiB / 1.946GiB
docker_recommender_1,21.90%,274.9MiB / 1.946GiB
docker_webui_1,81.64%,253.5MiB / 256MiB
docker_persistence_1,54.99%,291.6MiB / 1.946GiB
docker_registry_1,5.23%,84.38MiB / 1.946GiB
docker_auth_1,41.03%,228.3MiB / 1.946GiB
docker_db_1,0.37%,29.57MiB / 1.946GiB
docker_image_1,29.02%,322MiB / 1.946GiB
docker_recommender_1,0.39%,276.7MiB / 1.946GiB
docker_webui_1,121.41%,254.2MiB / 256MiB
docker_persistence_1,25.27%,292.4MiB / 1.946GiB
docker_registry_1,4.00%,85.12MiB / 1.946GiB
docker_auth_1,26.68%,229.8MiB / 1.946GiB
docker_db_1,0.31%,29.58MiB / 1.946GiB
docker_image_1,26.24%,322.5MiB / 1.946GiB
docker_recommender_1,11.54%,276.8MiB / 1.946GiB
docker_webui_1,71.27%,254.9MiB / 256MiB
docker_persistence_1,15.52%,295.9MiB / 1.946GiB
docker_registry_1,3.16%,86.15MiB / 1.946GiB
docker_auth_1,39.50%,232.5MiB / 1.946GiB
docker_db_1,0.21%,29.58MiB / 1.946GiB
docker_image_1,18.44%,323.3MiB / 1.946GiB
docker_recommender_1,2.50%,276.9MiB / 1.946GiB
docker_webui_1,68.86%,254.2MiB / 256MiB
docker_persistence_1,15.56%,296.9MiB / 1.946GiB
docker_registry_1,12.39%,87.01MiB / 1.946GiB
docker_auth_1,57.10%,242.6MiB / 1.946GiB
docker_db_1,0.15%,29.58MiB / 1.946GiB
docker_image_1,3.11%,323.8MiB / 1.946GiB
docker_recommender_1,18.89%,279.4MiB / 1.946GiB
docker_webui_1,52.56%,244.9MiB / 256MiB
docker_persistence_1,6.06%,286.6MiB / 1.946GiB
docker_registry_1,1.16%,84.96MiB / 1.946GiB
docker_auth_1,139.60%,297.8MiB / 1.946GiB
docker_db_1,0.16%,28.18MiB / 1.946GiB
docker_image_1,8.04%,317MiB / 1.946GiB
docker_recommender_1,7.57%,272.3MiB / 1.946GiB
docker_webui_1,51.50%,254MiB / 256MiB
docker_persistence_1,40.21%,317.4MiB / 1.946GiB
docker_registry_1,2.16%,88.36MiB / 1.946GiB
docker_auth_1,48.74%,322.3MiB / 1.946GiB
docker_db_1,0.60%,40.04MiB / 1.946GiB
docker_image_1,58.67%,299.4MiB / 1.946GiB
docker_recommender_1,10.27%,264.6MiB / 1.946GiB
docker_webui_1,54.07%,254.7MiB / 256MiB
