$0;1776137129911944103;1.15-SNAPSHOT;KIEKER;a57bcd82aed9;1;false;0;NANOSECONDS;0
$1;1776137235826936882;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4994632724242235393;1776137232950637441;1776137235826426099;a57bcd82aed9;1;1
$1;1776137237616029445;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4994632724242235393;1776137235866348007;1776137237616005173;a57bcd82aed9;2;1
$1;1776137239121839447;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4994632724242235393;1776137237963213091;1776137239121808269;a57bcd82aed9;5;1
$1;1776137242658558987;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4994632724242235394;1776137242588479000;1776137242658527738;a57bcd82aed9;1;1
$1;1776137242694247344;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4994632724242235394;1776137242658654008;1776137242694206112;a57bcd82aed9;2;1
$1;1776137242806305986;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;4994632724242235394;1776137242694340612;1776137242806276277;a57bcd82aed9;5;1
$1;1776137246631601493;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4994632724242235394;1776137242588452529;1776137246631562738;a57bcd82aed9;0;0
$1;1776137246633202190;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;4994632724242235393;1776137232813129339;1776137246633184577;a57bcd82aed9;0;0
$1;1776137247058250526;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;4994632724242235395;1776137246967138650;1776137247058223223;a57bcd82aed9;1;1
$1;1776137247100076421;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;4994632724242235395;1776137247058563640;1776137247100047495;a57bcd82aed9;2;1
