docker_auth_1,1.71%,233.9MiB / 1.946GiB
docker_webui_1,31.51%,336.2MiB / 1.946GiB
docker_db_1,0.14%,47.1MiB / 1.946GiB
docker_registry_1,47.59%,82.5MiB / 1.946GiB
docker_persistence_1,32.03%,303.9MiB / 1.946GiB
docker_recommender_1,8.43%,269.2MiB / 1.946GiB
docker_image_1,4.05%,328.3MiB / 1.946GiB
docker_auth_1,89.26%,251MiB / 1.946GiB
docker_webui_1,35.72%,336.4MiB / 1.946GiB
docker_db_1,0.18%,44.43MiB / 1.946GiB
docker_registry_1,5.32%,80.72MiB / 1.946GiB
docker_persistence_1,13.55%,323.8MiB / 1.946GiB
docker_recommender_1,5.30%,252.6MiB / 1.946GiB
docker_image_1,23.01%,311.2MiB / 1.946GiB
docker_auth_1,13.67%,239MiB / 1.946GiB
docker_webui_1,35.90%,339.4MiB / 1.946GiB
docker_db_1,0.21%,44.43MiB / 1.946GiB
docker_registry_1,2.56%,81.59MiB / 1.946GiB
docker_persistence_1,28.39%,325.8MiB / 1.946GiB
docker_recommender_1,3.06%,254.2MiB / 1.946GiB
docker_image_1,22.94%,307.7MiB / 1.946GiB
docker_auth_1,23.26%,237MiB / 1.946GiB
docker_webui_1,65.40%,349.3MiB / 1.946GiB
docker_db_1,0.25%,38.59MiB / 1.946GiB
docker_registry_1,4.60%,78.71MiB / 1.946GiB
docker_persistence_1,63.99%,318.9MiB / 1.946GiB
docker_recommender_1,5.66%,257.9MiB / 1.946GiB
docker_image_1,16.03%,308.8MiB / 1.946GiB
docker_auth_1,50.64%,237.5MiB / 1.946GiB
docker_webui_1,87.11%,357.5MiB / 1.946GiB
docker_db_1,1.96%,37.75MiB / 1.946GiB
docker_registry_1,2.20%,78.69MiB / 1.946GiB
docker_persistence_1,25.98%,315.8MiB / 1.946GiB
docker_recommender_1,3.06%,257.6MiB / 1.946GiB
docker_image_1,38.40%,306.5MiB / 1.946GiB
docker_auth_1,18.94%,228.3MiB / 1.946GiB
docker_webui_1,65.03%,366.4MiB / 1.946GiB
docker_db_1,0.29%,36.83MiB / 1.946GiB
docker_registry_1,1.80%,77.59MiB / 1.946GiB
docker_persistence_1,29.86%,320.7MiB / 1.946GiB
docker_recommender_1,0.54%,253.2MiB / 1.946GiB
docker_image_1,27.69%,300.9MiB / 1.946GiB
docker_webui_1,187.52%,380.5MiB / 1.946GiB
docker_db_1,0.12%,34.24MiB / 1.946GiB
docker_registry_1,4.49%,75.98MiB / 1.946GiB
docker_persistence_1,0.54%,307.9MiB / 1.946GiB
docker_recommender_1,22.28%,252.2MiB / 1.946GiB
docker_image_1,4.66%,298.6MiB / 1.946GiB
docker_webui_1,33.27%,405.3MiB / 1.946GiB
docker_db_1,0.11%,34.24MiB / 1.946GiB
docker_registry_1,0.63%,76.68MiB / 1.946GiB
docker_persistence_1,5.06%,310.9MiB / 1.946GiB
docker_recommender_1,15.14%,254.2MiB / 1.946GiB
docker_image_1,1.70%,301.7MiB / 1.946GiB
docker_webui_1,53.51%,407.6MiB / 1.946GiB
docker_db_1,0.14%,34.25MiB / 1.946GiB
docker_registry_1,2.66%,86.8MiB / 1.946GiB
docker_persistence_1,0.96%,311.6MiB / 1.946GiB
docker_recommender_1,0.35%,254.2MiB / 1.946GiB
docker_image_1,4.27%,302.6MiB / 1.946GiB
docker_webui_1,71.03%,412.3MiB / 1.946GiB
docker_db_1,0.12%,34.25MiB / 1.946GiB
docker_registry_1,11.30%,90.48MiB / 1.946GiB
docker_persistence_1,0.21%,311.6MiB / 1.946GiB
docker_recommender_1,35.46%,256.5MiB / 1.946GiB
docker_image_1,26.33%,302.7MiB / 1.946GiB
--,0.00%,0B / 0B
docker_auth_1,80.80%,43.51MiB / 1.946GiB
docker_webui_1,81.81%,417.9MiB / 1.946GiB
docker_db_1,0.11%,34.25MiB / 1.946GiB
docker_registry_1,12.32%,94.68MiB / 1.946GiB
docker_persistence_1,50.28%,314.1MiB / 1.946GiB
docker_recommender_1,0.92%,256.6MiB / 1.946GiB
docker_image_1,9.71%,302.9MiB / 1.946GiB
docker_auth_1,74.68%,60.52MiB / 1.946GiB
docker_webui_1,97.52%,459.1MiB / 1.946GiB
docker_db_1,0.14%,31.56MiB / 1.946GiB
docker_registry_1,17.31%,93.67MiB / 1.946GiB
docker_persistence_1,0.28%,314.1MiB / 1.946GiB
docker_recommender_1,22.98%,247.9MiB / 1.946GiB
docker_image_1,4.75%,294.9MiB / 1.946GiB
docker_auth_1,82.77%,87.82MiB / 1.946GiB
docker_webui_1,87.28%,492.9MiB / 1.946GiB
docker_db_1,0.13%,27.71MiB / 1.946GiB
docker_registry_1,13.65%,91.39MiB / 1.946GiB
docker_persistence_1,7.17%,308.8MiB / 1.946GiB
docker_recommender_1,10.84%,233MiB / 1.946GiB
docker_image_1,11.35%,276.6MiB / 1.946GiB
docker_auth_1,90.15%,125.9MiB / 1.946GiB
docker_webui_1,91.08%,536.6MiB / 1.946GiB
docker_db_1,0.11%,24.21MiB / 1.946GiB
docker_registry_1,15.89%,93.54MiB / 1.946GiB
docker_persistence_1,0.29%,302.8MiB / 1.946GiB
docker_recommender_1,5.90%,224.8MiB / 1.946GiB
docker_image_1,6.14%,270.9MiB / 1.946GiB
docker_auth_1,78.16%,155.2MiB / 1.946GiB
docker_webui_1,79.89%,566.1MiB / 1.946GiB
docker_db_1,0.09%,21.86MiB / 1.946GiB
docker_registry_1,17.62%,89.12MiB / 1.946GiB
docker_persistence_1,3.46%,294.2MiB / 1.946GiB
docker_recommender_1,29.03%,218.3MiB / 1.946GiB
docker_image_1,3.26%,231.3MiB / 1.946GiB
docker_auth_1,77.29%,171.1MiB / 1.946GiB
docker_webui_1,86.21%,611.8MiB / 1.946GiB
docker_db_1,0.10%,17.99MiB / 1.946GiB
docker_registry_1,32.50%,82MiB / 1.946GiB
docker_persistence_1,4.91%,290.1MiB / 1.946GiB
docker_recommender_1,7.02%,207.2MiB / 1.946GiB
docker_image_1,16.60%,231.3MiB / 1.946GiB
docker_auth_1,83.64%,189.9MiB / 1.946GiB
docker_webui_1,78.62%,620.7MiB / 1.946GiB
docker_db_1,0.10%,16.29MiB / 1.946GiB
docker_registry_1,10.85%,83.95MiB / 1.946GiB
docker_persistence_1,0.29%,286MiB / 1.946GiB
docker_recommender_1,30.81%,199.2MiB / 1.946GiB
docker_image_1,51.94%,218.1MiB / 1.946GiB
docker_auth_1,82.08%,193.3MiB / 1.946GiB
docker_webui_1,91.59%,664MiB / 1.946GiB
docker_db_1,0.11%,14.61MiB / 1.946GiB
docker_registry_1,8.57%,82.72MiB / 1.946GiB
docker_persistence_1,0.36%,268MiB / 1.946GiB
docker_recommender_1,10.85%,185.6MiB / 1.946GiB
docker_image_1,5.13%,212.4MiB / 1.946GiB
docker_auth_1,84.36%,230.2MiB / 1.946GiB
docker_webui_1,96.66%,680.3MiB / 1.946GiB
docker_db_1,0.11%,11.98MiB / 1.946GiB
docker_registry_1,8.53%,73.95MiB / 1.946GiB
docker_persistence_1,0.94%,252MiB / 1.946GiB
docker_recommender_1,17.95%,185.1MiB / 1.946GiB
docker_image_1,3.53%,195.5MiB / 1.946GiB
docker_auth_1,60.76%,297.8MiB / 1.946GiB
docker_webui_1,56.12%,707.1MiB / 1.946GiB
docker_db_1,0.19%,9.34MiB / 1.946GiB
docker_registry_1,3.14%,64.05MiB / 1.946GiB
docker_persistence_1,15.76%,215MiB / 1.946GiB
docker_recommender_1,17.12%,168.9MiB / 1.946GiB
docker_image_1,16.53%,189.5MiB / 1.946GiB
docker_auth_1,34.39%,345.2MiB / 1.946GiB
docker_webui_1,67.64%,722.2MiB / 1.946GiB
docker_db_1,0.16%,8.133MiB / 1.946GiB
docker_registry_1,1.96%,55.7MiB / 1.946GiB
docker_persistence_1,0.35%,185MiB / 1.946GiB
docker_recommender_1,7.13%,185.7MiB / 1.946GiB
docker_image_1,3.69%,157.8MiB / 1.946GiB
docker_auth_1,101.22%,403MiB / 1.946GiB
docker_webui_1,75.58%,689MiB / 1.946GiB
docker_db_1,0.14%,7.34MiB / 1.946GiB
docker_registry_1,0.98%,48.43MiB / 1.946GiB
docker_persistence_1,20.78%,164.2MiB / 1.946GiB
docker_recommender_1,6.33%,172.7MiB / 1.946GiB
docker_image_1,6.29%,139.7MiB / 1.946GiB
docker_auth_1,101.95%,457.4MiB / 1.946GiB
docker_webui_1,76.97%,657.6MiB / 1.946GiB
docker_db_1,0.10%,6.395MiB / 1.946GiB
docker_registry_1,3.32%,45.18MiB / 1.946GiB
docker_persistence_1,0.29%,154.2MiB / 1.946GiB
docker_recommender_1,4.44%,169.7MiB / 1.946GiB
docker_image_1,16.71%,124.5MiB / 1.946GiB
docker_auth_1,75.65%,455.4MiB / 1.946GiB
docker_webui_1,65.30%,663.1MiB / 1.946GiB
docker_db_1,0.09%,6.324MiB / 1.946GiB
docker_registry_1,0.98%,42.76MiB / 1.946GiB
docker_persistence_1,0.28%,153MiB / 1.946GiB
docker_recommender_1,7.19%,168.3MiB / 1.946GiB
docker_image_1,4.36%,113.8MiB / 1.946GiB
docker_auth_1,69.72%,453.1MiB / 1.946GiB
docker_webui_1,63.91%,659.5MiB / 1.946GiB
docker_db_1,0.10%,6.922MiB / 1.946GiB
docker_registry_1,1.98%,45.29MiB / 1.946GiB
docker_persistence_1,5.01%,158.1MiB / 1.946GiB
docker_recommender_1,7.99%,165.8MiB / 1.946GiB
docker_image_1,4.80%,111.6MiB / 1.946GiB
docker_auth_1,117.34%,467.6MiB / 1.946GiB
docker_webui_1,86.19%,658.1MiB / 1.946GiB
docker_db_1,0.15%,7.156MiB / 1.946GiB
docker_registry_1,1.96%,44.76MiB / 1.946GiB
docker_persistence_1,3.99%,157.2MiB / 1.946GiB
docker_recommender_1,2.62%,163.4MiB / 1.946GiB
docker_image_1,25.27%,114.1MiB / 1.946GiB
docker_auth_1,66.43%,485.4MiB / 1.946GiB
docker_webui_1,61.17%,595.6MiB / 1.946GiB
docker_db_1,2.79%,19.29MiB / 1.946GiB
docker_registry_1,1.77%,43.85MiB / 1.946GiB
docker_persistence_1,48.47%,196.3MiB / 1.946GiB
docker_recommender_1,39.67%,163.2MiB / 1.946GiB
docker_image_1,2.80%,121.1MiB / 1.946GiB
docker_auth_1,72.46%,476.8MiB / 1.946GiB
docker_webui_1,57.63%,500.2MiB / 1.946GiB
docker_db_1,0.61%,18.25MiB / 1.946GiB
docker_registry_1,5.60%,42.41MiB / 1.946GiB
docker_persistence_1,58.92%,311.2MiB / 1.946GiB
docker_recommender_1,11.11%,148.1MiB / 1.946GiB
docker_image_1,4.20%,120.8MiB / 1.946GiB
docker_auth_1,73.00%,497.1MiB / 1.946GiB
docker_webui_1,37.33%,455.6MiB / 1.946GiB
docker_db_1,1.03%,17.41MiB / 1.946GiB
docker_registry_1,1.24%,46.69MiB / 1.946GiB
docker_persistence_1,75.08%,325.7MiB / 1.946GiB
docker_recommender_1,1.94%,148MiB / 1.946GiB
docker_image_1,2.05%,119.3MiB / 1.946GiB
docker_auth_1,60.52%,501.3MiB / 1.946GiB
docker_webui_1,57.38%,430.4MiB / 1.946GiB
docker_db_1,0.24%,16.91MiB / 1.946GiB
docker_registry_1,1.82%,44.54MiB / 1.946GiB
docker_persistence_1,51.25%,344.7MiB / 1.946GiB
docker_recommender_1,6.60%,146.9MiB / 1.946GiB
docker_image_1,16.03%,125.2MiB / 1.946GiB
docker_auth_1,51.21%,495.9MiB / 1.946GiB
docker_webui_1,48.80%,407.8MiB / 1.946GiB
docker_db_1,0.10%,16.76MiB / 1.946GiB
docker_registry_1,2.98%,47.01MiB / 1.946GiB
docker_persistence_1,14.50%,374.9MiB / 1.946GiB
docker_recommender_1,3.06%,145.7MiB / 1.946GiB
docker_image_1,28.84%,118.4MiB / 1.946GiB
docker_auth_1,65.85%,505.6MiB / 1.946GiB
docker_webui_1,46.59%,373.3MiB / 1.946GiB
docker_db_1,0.13%,16.41MiB / 1.946GiB
docker_registry_1,2.68%,46.52MiB / 1.946GiB
docker_persistence_1,6.28%,392.6MiB / 1.946GiB
docker_recommender_1,12.61%,144.5MiB / 1.946GiB
docker_image_1,35.10%,125MiB / 1.946GiB
docker_auth_1,69.74%,525.1MiB / 1.946GiB
docker_webui_1,9.91%,358.8MiB / 1.946GiB
docker_db_1,0.81%,19.28MiB / 1.946GiB
docker_registry_1,40.30%,50.22MiB / 1.946GiB
docker_persistence_1,40.74%,398.6MiB / 1.946GiB
docker_recommender_1,6.09%,138.6MiB / 1.946GiB
docker_image_1,8.39%,128.6MiB / 1.946GiB
docker_auth_1,82.98%,520.9MiB / 1.946GiB
docker_webui_1,43.55%,333.5MiB / 1.946GiB
docker_db_1,0.47%,17.14MiB / 1.946GiB
docker_registry_1,1.71%,47.27MiB / 1.946GiB
docker_persistence_1,62.06%,418.3MiB / 1.946GiB
docker_recommender_1,1.45%,138.8MiB / 1.946GiB
docker_image_1,17.25%,153.6MiB / 1.946GiB
docker_auth_1,43.72%,535.7MiB / 1.946GiB
docker_webui_1,4.66%,310.7MiB / 1.946GiB
docker_db_1,0.12%,16.2MiB / 1.946GiB
docker_registry_1,0.45%,41.52MiB / 1.946GiB
docker_persistence_1,50.63%,414MiB / 1.946GiB
docker_recommender_1,7.76%,144.6MiB / 1.946GiB
docker_image_1,12.94%,169MiB / 1.946GiB
docker_auth_1,77.46%,547.7MiB / 1.946GiB
docker_webui_1,7.55%,311MiB / 1.946GiB
docker_db_1,0.08%,14.76MiB / 1.946GiB
docker_registry_1,3.67%,37.7MiB / 1.946GiB
docker_persistence_1,4.09%,402.9MiB / 1.946GiB
docker_recommender_1,24.11%,154.5MiB / 1.946GiB
docker_image_1,17.57%,166.3MiB / 1.946GiB
