$0;1776115599980614929;1.15-SNAPSHOT;KIEKER;432856254ba9;1;false;0;NANOSECONDS;0
$1;1776115726590785670;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359745;1776115723799294262;1776115726590351028;432856254ba9;1;1
$1;1776115728702361141;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7377881352051359745;1776115726612358907;1776115728702312038;432856254ba9;2;1
$1;1776115730663722946;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7377881352051359745;1776115728823998916;1776115730663670808;432856254ba9;5;1
$1;1776115733391851868;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359746;1776115733347026306;1776115733391819176;432856254ba9;1;1
$1;1776115733422785851;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7377881352051359746;1776115733391937428;1776115733422762736;432856254ba9;2;1
$1;1776115733496000397;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;7377881352051359746;1776115733422867206;1776115733495963420;432856254ba9;5;1
$1;1776115736612329202;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7377881352051359746;1776115733346988897;1776115736612244980;432856254ba9;0;0
$1;1776115736613783172;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;7377881352051359745;1776115723482700859;1776115736613769490;432856254ba9;0;0
$1;1776115736903829375;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;7377881352051359747;1776115736790608250;1776115736903793192;432856254ba9;1;1
$1;1776115736969916685;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;7377881352051359747;1776115736903951002;1776115736969877548;432856254ba9;2;1
