timestamp,status,response_time_ms,http_code
1776121535417,up,227,200
1776121537127,up,173,200
1776121539115,up,48,200
1776121540195,up,116,200
1776121541359,up,87,200
1776121542484,up,192,200
1776121543717,up,108,200
1776121544880,up,146,200
1776121546085,up,76,200
1776121547198,up,243,200
1776121548478,up,73,200
1776121549580,up,94,200
1776121550711,up,49,200
1776121551799,up,477,200
1776121553317,up,160,200
1776121554528,up,366,200
1776121555956,up,1640,200
1776121558663,up,374,200
1776121560076,up,186,200
1776121561293,down,5001,000
1776121567375,degraded,4254,500
1776121572796,down,5001,000
1776121578865,degraded,4276,500
1776121584178,down,5001,000
1776121590219,down,5001,000
1776121596310,degraded,4690,500
1776121602106,down,5002,000
1776121608168,down,5002,000
1776121614262,down,5004,000
1776121620354,down,5000,000
1776121626458,up,1511,200
1776121629007,down,5002,000
1776121635165,down,5003,000
1776121641396,down,5000,000
1776121648560,down,5001,000
1776121654964,down,5001,000
1776121661030,down,5001,000
1776121667151,down,5001,000
