docker_webui_1,59.06%,393.3MiB / 1.946GiB
docker_registry_1,2.31%,74.77MiB / 1.946GiB
docker_auth_1,11.18%,233.4MiB / 1.946GiB
docker_persistence_1,15.10%,256.8MiB / 1.946GiB
docker_db_1,0.17%,38.77MiB / 1.946GiB
docker_recommender_1,3.27%,244.2MiB / 1.946GiB
docker_image_1,38.59%,354.8MiB / 1.946GiB
docker_webui_1,28.19%,388.3MiB / 1.946GiB
docker_registry_1,4.71%,89.85MiB / 1.946GiB
docker_auth_1,14.41%,231.4MiB / 1.946GiB
docker_persistence_1,4.91%,253.7MiB / 1.946GiB
docker_db_1,0.16%,38.04MiB / 1.946GiB
docker_recommender_1,11.37%,241.6MiB / 1.946GiB
docker_image_1,29.45%,348.7MiB / 1.946GiB
docker_webui_1,89.62%,388.9MiB / 1.946GiB
docker_registry_1,1.30%,89.22MiB / 1.946GiB
docker_auth_1,11.34%,231.2MiB / 1.946GiB
docker_persistence_1,13.11%,254.8MiB / 1.946GiB
docker_db_1,0.21%,38.05MiB / 1.946GiB
docker_recommender_1,14.80%,242.1MiB / 1.946GiB
docker_image_1,28.65%,347.2MiB / 1.946GiB
docker_webui_1,52.84%,384.3MiB / 1.946GiB
docker_registry_1,1.70%,88.15MiB / 1.946GiB
docker_auth_1,40.19%,242.6MiB / 1.946GiB
docker_persistence_1,48.47%,255MiB / 1.946GiB
docker_db_1,0.26%,38.05MiB / 1.946GiB
docker_recommender_1,9.70%,241.1MiB / 1.946GiB
docker_image_1,12.07%,342MiB / 1.946GiB
docker_webui_1,58.94%,404.9MiB / 1.946GiB
docker_registry_1,58.95%,84.77MiB / 1.946GiB
docker_auth_1,42.10%,246.6MiB / 1.946GiB
docker_persistence_1,28.99%,245.9MiB / 1.946GiB
docker_db_1,0.28%,35.98MiB / 1.946GiB
docker_recommender_1,24.31%,239.9MiB / 1.946GiB
docker_image_1,28.96%,335.2MiB / 1.946GiB
docker_webui_1,65.07%,411.3MiB / 1.946GiB
docker_registry_1,17.44%,90.61MiB / 1.946GiB
docker_auth_1,35.65%,247.3MiB / 1.946GiB
docker_persistence_1,36.87%,243.7MiB / 1.946GiB
docker_db_1,0.39%,31.96MiB / 1.946GiB
docker_recommender_1,7.93%,240.7MiB / 1.946GiB
docker_image_1,42.76%,332.8MiB / 1.946GiB
docker_webui_1,115.31%,423.6MiB / 1.946GiB
docker_registry_1,13.30%,96.23MiB / 1.946GiB
docker_auth_1,39.03%,245.6MiB / 1.946GiB
docker_persistence_1,19.47%,237.7MiB / 1.946GiB
docker_db_1,0.39%,28.36MiB / 1.946GiB
docker_recommender_1,17.26%,239.6MiB / 1.946GiB
docker_image_1,37.43%,338.1MiB / 1.946GiB
docker_webui_1,99.72%,466.7MiB / 1.946GiB
docker_registry_1,8.90%,96.71MiB / 1.946GiB
docker_auth_1,86.82%,265.5MiB / 1.946GiB
docker_persistence_1,0.32%,236.6MiB / 1.946GiB
docker_db_1,0.14%,27.71MiB / 1.946GiB
docker_recommender_1,40.27%,247MiB / 1.946GiB
docker_webui_1,66.61%,500.9MiB / 1.946GiB
docker_registry_1,25.05%,97.62MiB / 1.946GiB
docker_auth_1,90.92%,311.3MiB / 1.946GiB
docker_persistence_1,64.70%,243MiB / 1.946GiB
docker_db_1,1.57%,28.46MiB / 1.946GiB
docker_recommender_1,3.79%,241.2MiB / 1.946GiB
docker_webui_1,75.08%,507.6MiB / 1.946GiB
docker_registry_1,7.05%,98.31MiB / 1.946GiB
docker_auth_1,73.87%,357.9MiB / 1.946GiB
docker_persistence_1,29.53%,268.8MiB / 1.946GiB
docker_db_1,0.73%,36.44MiB / 1.946GiB
docker_recommender_1,6.06%,241.2MiB / 1.946GiB
docker_webui_1,52.85%,513.2MiB / 1.946GiB
docker_registry_1,5.43%,94.36MiB / 1.946GiB
docker_auth_1,64.24%,364.6MiB / 1.946GiB
docker_persistence_1,33.12%,259.5MiB / 1.946GiB
docker_db_1,0.23%,38.18MiB / 1.946GiB
docker_recommender_1,35.93%,230.7MiB / 1.946GiB
docker_image_1,55.22%,26.64MiB / 1.946GiB
docker_webui_1,50.67%,527.9MiB / 1.946GiB
docker_registry_1,0.94%,87.47MiB / 1.946GiB
docker_auth_1,57.07%,368.2MiB / 1.946GiB
docker_persistence_1,35.12%,253.7MiB / 1.946GiB
docker_db_1,0.45%,35.89MiB / 1.946GiB
docker_recommender_1,5.46%,223.4MiB / 1.946GiB
docker_image_1,54.36%,49.23MiB / 1.946GiB
docker_webui_1,44.15%,530.9MiB / 1.946GiB
docker_registry_1,0.82%,87.07MiB / 1.946GiB
docker_auth_1,58.14%,396.9MiB / 1.946GiB
docker_persistence_1,35.82%,251.5MiB / 1.946GiB
docker_db_1,0.23%,34.25MiB / 1.946GiB
docker_recommender_1,43.52%,219.9MiB / 1.946GiB
docker_image_1,41.02%,61.36MiB / 1.946GiB
docker_webui_1,46.55%,536.6MiB / 1.946GiB
docker_registry_1,5.02%,81.26MiB / 1.946GiB
docker_auth_1,39.86%,403MiB / 1.946GiB
docker_persistence_1,37.24%,256MiB / 1.946GiB
docker_db_1,0.43%,33.54MiB / 1.946GiB
docker_recommender_1,40.87%,214.8MiB / 1.946GiB
docker_image_1,45.54%,70.24MiB / 1.946GiB
docker_webui_1,57.47%,525.8MiB / 1.946GiB
docker_registry_1,1.38%,75.01MiB / 1.946GiB
docker_auth_1,65.48%,410.2MiB / 1.946GiB
docker_persistence_1,4.50%,259.2MiB / 1.946GiB
docker_db_1,0.17%,32.82MiB / 1.946GiB
docker_recommender_1,30.12%,210MiB / 1.946GiB
docker_image_1,71.31%,96.18MiB / 1.946GiB
docker_webui_1,49.19%,513.7MiB / 1.946GiB
docker_registry_1,8.14%,71.58MiB / 1.946GiB
docker_auth_1,54.72%,440.8MiB / 1.946GiB
docker_persistence_1,11.08%,261.3MiB / 1.946GiB
docker_db_1,0.35%,32.39MiB / 1.946GiB
docker_recommender_1,4.44%,192.2MiB / 1.946GiB
docker_image_1,63.00%,108.2MiB / 1.946GiB
docker_webui_1,45.70%,511.3MiB / 1.946GiB
docker_registry_1,1.08%,66.71MiB / 1.946GiB
docker_auth_1,51.73%,451.7MiB / 1.946GiB
docker_persistence_1,43.98%,255MiB / 1.946GiB
docker_db_1,0.41%,29.84MiB / 1.946GiB
docker_recommender_1,6.99%,184.1MiB / 1.946GiB
docker_image_1,56.52%,119.8MiB / 1.946GiB
docker_webui_1,47.06%,523.6MiB / 1.946GiB
docker_registry_1,0.42%,62.27MiB / 1.946GiB
docker_auth_1,49.37%,456.4MiB / 1.946GiB
docker_persistence_1,40.90%,255.2MiB / 1.946GiB
docker_db_1,1.21%,27.54MiB / 1.946GiB
docker_recommender_1,8.15%,171.3MiB / 1.946GiB
docker_image_1,54.08%,120.8MiB / 1.946GiB
docker_webui_1,52.39%,521.5MiB / 1.946GiB
docker_registry_1,1.97%,60.38MiB / 1.946GiB
docker_auth_1,76.96%,459.8MiB / 1.946GiB
docker_persistence_1,17.88%,255.2MiB / 1.946GiB
docker_db_1,0.31%,26.79MiB / 1.946GiB
docker_recommender_1,3.40%,169.8MiB / 1.946GiB
docker_image_1,60.61%,126.5MiB / 1.946GiB
docker_webui_1,66.63%,524.3MiB / 1.946GiB
docker_registry_1,1.09%,56.36MiB / 1.946GiB
docker_auth_1,59.74%,451.9MiB / 1.946GiB
docker_persistence_1,11.22%,251.2MiB / 1.946GiB
docker_db_1,0.33%,23MiB / 1.946GiB
docker_recommender_1,0.30%,171.6MiB / 1.946GiB
