$0;1776137497199719098;1.15-SNAPSHOT;KIEKER;1f8fd1d935df;1;false;0;NANOSECONDS;0
$1;1776137607233440916;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677121;1776137603319163238;1776137607232848758;1f8fd1d935df;1;1
$1;1776137609090229267;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677121;1776137607511798654;1776137609090190747;1f8fd1d935df;2;1
$1;1776137610215838437;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677121;1776137609114898461;1776137610215801085;1f8fd1d935df;5;1
$1;1776137612295251912;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677122;1776137612265190606;1776137612295223691;1f8fd1d935df;1;1
$1;1776137612460103072;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677122;1776137612295333692;1776137612460080621;1f8fd1d935df;2;1
$1;1776137612501404255;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677122;1776137612460185995;1776137612501364862;1f8fd1d935df;5;1
$1;1776137616530698727;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677122;1776137612265164802;1776137616530670492;1f8fd1d935df;0;0
$1;1776137616532292771;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677121;1776137603089024356;1776137616532276188;1f8fd1d935df;0;0
$1;1776137616773592967;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677123;1776137616706280812;1776137616773563000;1f8fd1d935df;1;1
$1;1776137616805091230;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677123;1776137616773685218;1776137616805069735;1f8fd1d935df;2;1
$1;1776137616828814414;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677123;1776137616805167744;1776137616828782537;1f8fd1d935df;5;1
$1;1776137616858604712;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677123;1776137616706247897;1776137616858564912;1f8fd1d935df;0;0
$1;1776137618497804356;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677124;1776137618419852869;1776137618497774686;1f8fd1d935df;1;1
$1;1776137618566543231;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677124;1776137618498213103;1776137618566518515;1f8fd1d935df;2;1
$1;1776137618616384908;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677124;1776137618567031688;1776137618616346882;1f8fd1d935df;5;1
$1;1776137618633348514;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3154630801484677124;1776137618419816651;1776137618633308057;1f8fd1d935df;0;0
$1;1776137619839441451;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3154630801484677125;1776137619811859697;1776137619839413379;1f8fd1d935df;1;1
$1;1776137619873428516;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3154630801484677125;1776137619841873451;1776137619873400762;1f8fd1d935df;2;1
$1;1776137619902685591;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3154630801484677125;1776137619873890788;1776137619902662383;1f8fd1d935df;5;1
