docker_registry_1,1.84%,113.5MiB / 1.946GiB
docker_persistence_1,32.56%,279.1MiB / 1.946GiB
docker_image_1,6.06%,301MiB / 1.946GiB
docker_recommender_1,8.13%,268.9MiB / 1.946GiB
docker_auth_1,5.78%,226.7MiB / 1.946GiB
docker_webui_1,8.97%,337.1MiB / 1.946GiB
docker_db_1,0.13%,53.49MiB / 1.946GiB
docker_registry_1,3.88%,112.3MiB / 1.946GiB
docker_persistence_1,4.82%,277.3MiB / 1.946GiB
docker_image_1,16.64%,300.1MiB / 1.946GiB
docker_recommender_1,38.58%,262.4MiB / 1.946GiB
docker_auth_1,20.93%,220.5MiB / 1.946GiB
docker_webui_1,51.54%,334.1MiB / 1.946GiB
docker_db_1,0.18%,51.56MiB / 1.946GiB
docker_registry_1,31.62%,124.6MiB / 1.946GiB
docker_persistence_1,44.23%,274.6MiB / 1.946GiB
docker_image_1,12.70%,301.4MiB / 1.946GiB
docker_recommender_1,3.63%,260.6MiB / 1.946GiB
docker_auth_1,54.04%,218.2MiB / 1.946GiB
docker_webui_1,54.15%,334.4MiB / 1.946GiB
docker_db_1,0.23%,51.53MiB / 1.946GiB
docker_registry_1,1.49%,120.1MiB / 1.946GiB
docker_persistence_1,17.27%,277MiB / 1.946GiB
docker_image_1,15.33%,302MiB / 1.946GiB
docker_recommender_1,0.34%,260.7MiB / 1.946GiB
docker_auth_1,24.37%,226.4MiB / 1.946GiB
docker_webui_1,43.36%,337.3MiB / 1.946GiB
docker_db_1,0.25%,51.53MiB / 1.946GiB
docker_registry_1,1.40%,115MiB / 1.946GiB
docker_persistence_1,15.16%,271.4MiB / 1.946GiB
docker_image_1,36.55%,296MiB / 1.946GiB
docker_recommender_1,12.63%,255.1MiB / 1.946GiB
docker_auth_1,49.00%,221.1MiB / 1.946GiB
docker_webui_1,143.29%,356.7MiB / 1.946GiB
docker_db_1,0.34%,50.3MiB / 1.946GiB
docker_registry_1,1.93%,111.4MiB / 1.946GiB
docker_persistence_1,30.71%,268.9MiB / 1.946GiB
docker_image_1,54.27%,294.6MiB / 1.946GiB
docker_recommender_1,0.39%,255.3MiB / 1.946GiB
docker_auth_1,15.84%,222.5MiB / 1.946GiB
docker_webui_1,80.70%,368.7MiB / 1.946GiB
docker_db_1,0.32%,49.24MiB / 1.946GiB
docker_registry_1,3.72%,106.7MiB / 1.946GiB
docker_persistence_1,15.67%,271.2MiB / 1.946GiB
docker_image_1,21.63%,291.7MiB / 1.946GiB
docker_auth_1,84.39%,231.4MiB / 1.946GiB
docker_webui_1,65.92%,396MiB / 1.946GiB
docker_db_1,0.24%,46.44MiB / 1.946GiB
docker_registry_1,16.62%,110.6MiB / 1.946GiB
docker_persistence_1,75.51%,277.4MiB / 1.946GiB
docker_image_1,14.20%,291.7MiB / 1.946GiB
docker_auth_1,82.42%,333.6MiB / 1.946GiB
docker_webui_1,44.47%,392.4MiB / 1.946GiB
docker_db_1,0.18%,46.43MiB / 1.946GiB
docker_registry_1,5.08%,106.8MiB / 1.946GiB
docker_persistence_1,37.76%,308.4MiB / 1.946GiB
docker_image_1,9.09%,288.4MiB / 1.946GiB
docker_auth_1,139.35%,354.5MiB / 1.946GiB
docker_webui_1,28.22%,431.1MiB / 1.946GiB
docker_db_1,0.39%,56.25MiB / 1.946GiB
docker_registry_1,2.79%,81.54MiB / 1.946GiB
docker_persistence_1,18.17%,292.2MiB / 1.946GiB
docker_image_1,2.84%,277.8MiB / 1.946GiB
docker_auth_1,92.80%,388.6MiB / 1.946GiB
docker_webui_1,34.68%,437.8MiB / 1.946GiB
docker_db_1,0.76%,55.01MiB / 1.946GiB
docker_registry_1,1.11%,73.28MiB / 1.946GiB
docker_persistence_1,55.63%,269.5MiB / 1.946GiB
docker_image_1,2.92%,278.6MiB / 1.946GiB
docker_recommender_1,53.21%,38.43MiB / 1.946GiB
docker_auth_1,55.59%,398.2MiB / 1.946GiB
docker_webui_1,49.75%,470.2MiB / 1.946GiB
docker_db_1,0.27%,48.52MiB / 1.946GiB
docker_registry_1,4.21%,69.25MiB / 1.946GiB
docker_persistence_1,22.54%,264.3MiB / 1.946GiB
docker_image_1,5.64%,275.6MiB / 1.946GiB
docker_recommender_1,57.33%,56.58MiB / 1.946GiB
docker_auth_1,58.70%,405MiB / 1.946GiB
docker_webui_1,61.88%,466.1MiB / 1.946GiB
docker_db_1,0.72%,47.2MiB / 1.946GiB
docker_registry_1,0.82%,61.9MiB / 1.946GiB
docker_persistence_1,20.17%,257.9MiB / 1.946GiB
docker_image_1,4.05%,265.8MiB / 1.946GiB
docker_recommender_1,63.78%,63.13MiB / 1.946GiB
docker_auth_1,54.38%,441.2MiB / 1.946GiB
docker_webui_1,61.48%,462.8MiB / 1.946GiB
docker_db_1,0.35%,43.62MiB / 1.946GiB
docker_registry_1,4.53%,56.8MiB / 1.946GiB
docker_persistence_1,46.41%,301.1MiB / 1.946GiB
docker_image_1,4.24%,246MiB / 1.946GiB
docker_recommender_1,54.06%,77.96MiB / 1.946GiB
docker_auth_1,62.49%,433.4MiB / 1.946GiB
docker_webui_1,40.76%,449.9MiB / 1.946GiB
docker_db_1,0.77%,41.41MiB / 1.946GiB
docker_registry_1,3.43%,49.84MiB / 1.946GiB
docker_persistence_1,47.54%,310.2MiB / 1.946GiB
docker_image_1,5.82%,236.5MiB / 1.946GiB
docker_recommender_1,57.66%,95.46MiB / 1.946GiB
docker_auth_1,41.76%,424.2MiB / 1.946GiB
docker_webui_1,45.62%,464.2MiB / 1.946GiB
docker_db_1,0.49%,33.64MiB / 1.946GiB
docker_registry_1,2.40%,43.75MiB / 1.946GiB
docker_persistence_1,39.91%,324.3MiB / 1.946GiB
docker_image_1,9.03%,222.9MiB / 1.946GiB
docker_recommender_1,40.11%,102.3MiB / 1.946GiB
docker_auth_1,41.72%,425.8MiB / 1.946GiB
docker_webui_1,45.41%,492.3MiB / 1.946GiB
docker_db_1,0.53%,28.09MiB / 1.946GiB
docker_registry_1,1.56%,41.57MiB / 1.946GiB
docker_persistence_1,14.33%,340.4MiB / 1.946GiB
docker_image_1,21.63%,225.1MiB / 1.946GiB
docker_recommender_1,41.81%,115.7MiB / 1.946GiB
docker_auth_1,53.93%,399.1MiB / 1.946GiB
docker_webui_1,50.78%,484.9MiB / 1.946GiB
docker_db_1,0.10%,21MiB / 1.946GiB
docker_registry_1,1.28%,42.73MiB / 1.946GiB
docker_persistence_1,34.19%,331.4MiB / 1.946GiB
docker_image_1,24.01%,234MiB / 1.946GiB
docker_recommender_1,78.39%,119.3MiB / 1.946GiB
docker_auth_1,43.47%,375.6MiB / 1.946GiB
docker_webui_1,39.41%,498.3MiB / 1.946GiB
docker_db_1,0.11%,19.09MiB / 1.946GiB
docker_registry_1,40.43%,47.29MiB / 1.946GiB
docker_persistence_1,38.02%,345.5MiB / 1.946GiB
docker_image_1,22.61%,239.7MiB / 1.946GiB
docker_recommender_1,35.49%,128.4MiB / 1.946GiB
docker_auth_1,39.41%,353.3MiB / 1.946GiB
docker_webui_1,36.93%,492.4MiB / 1.946GiB
docker_db_1,0.19%,16.53MiB / 1.946GiB
docker_registry_1,0.97%,55.59MiB / 1.946GiB
docker_persistence_1,32.41%,344.4MiB / 1.946GiB
docker_image_1,29.04%,241.9MiB / 1.946GiB
docker_recommender_1,62.59%,134.9MiB / 1.946GiB
docker_auth_1,45.27%,337.9MiB / 1.946GiB
docker_webui_1,42.95%,480.8MiB / 1.946GiB
docker_db_1,0.20%,14MiB / 1.946GiB
docker_registry_1,8.44%,50.65MiB / 1.946GiB
docker_persistence_1,0.48%,330.9MiB / 1.946GiB
docker_image_1,7.25%,238.9MiB / 1.946GiB
docker_recommender_1,76.16%,140.7MiB / 1.946GiB
docker_auth_1,59.11%,348.3MiB / 1.946GiB
docker_webui_1,62.71%,504.4MiB / 1.946GiB
docker_db_1,0.11%,12.37MiB / 1.946GiB
docker_registry_1,5.03%,51.86MiB / 1.946GiB
docker_persistence_1,12.48%,302.8MiB / 1.946GiB
docker_image_1,37.18%,239.2MiB / 1.946GiB
docker_recommender_1,52.67%,153.4MiB / 1.946GiB
docker_auth_1,55.28%,361.9MiB / 1.946GiB
docker_webui_1,48.72%,504.3MiB / 1.946GiB
docker_db_1,0.14%,10.86MiB / 1.946GiB
docker_registry_1,25.11%,54.84MiB / 1.946GiB
docker_persistence_1,13.64%,277.2MiB / 1.946GiB
docker_image_1,2.63%,230MiB / 1.946GiB
docker_recommender_1,86.04%,169.8MiB / 1.946GiB
docker_auth_1,8.40%,352.7MiB / 1.946GiB
docker_webui_1,78.71%,535.2MiB / 1.946GiB
docker_db_1,0.10%,9.414MiB / 1.946GiB
docker_registry_1,2.88%,54.61MiB / 1.946GiB
docker_persistence_1,56.78%,275.4MiB / 1.946GiB
docker_image_1,29.69%,216.6MiB / 1.946GiB
docker_recommender_1,66.61%,208.6MiB / 1.946GiB
docker_auth_1,2.68%,330.7MiB / 1.946GiB
docker_webui_1,72.86%,549.1MiB / 1.946GiB
docker_db_1,0.11%,8.574MiB / 1.946GiB
docker_registry_1,19.51%,56.22MiB / 1.946GiB
docker_persistence_1,50.10%,269.5MiB / 1.946GiB
docker_image_1,4.73%,216.2MiB / 1.946GiB
docker_recommender_1,62.78%,213.1MiB / 1.946GiB
docker_auth_1,44.01%,321.5MiB / 1.946GiB
docker_webui_1,46.24%,540.3MiB / 1.946GiB
docker_db_1,0.10%,7.934MiB / 1.946GiB
docker_registry_1,5.98%,56.63MiB / 1.946GiB
docker_persistence_1,20.52%,259.1MiB / 1.946GiB
docker_image_1,12.35%,214.2MiB / 1.946GiB
docker_recommender_1,94.09%,240.6MiB / 1.946GiB
docker_auth_1,25.89%,328MiB / 1.946GiB
docker_webui_1,41.20%,531.6MiB / 1.946GiB
docker_db_1,4.57%,9.43MiB / 1.946GiB
docker_registry_1,0.90%,56.54MiB / 1.946GiB
docker_persistence_1,57.88%,258.9MiB / 1.946GiB
docker_image_1,25.94%,210.8MiB / 1.946GiB
docker_recommender_1,41.30%,250.7MiB / 1.946GiB
docker_auth_1,48.83%,330.5MiB / 1.946GiB
docker_webui_1,46.17%,504.7MiB / 1.946GiB
docker_db_1,2.39%,11.59MiB / 1.946GiB
docker_registry_1,2.79%,55.57MiB / 1.946GiB
docker_persistence_1,63.62%,251.1MiB / 1.946GiB
docker_image_1,4.08%,205.8MiB / 1.946GiB
docker_recommender_1,58.05%,273MiB / 1.946GiB
docker_auth_1,27.08%,340MiB / 1.946GiB
docker_webui_1,51.01%,487.7MiB / 1.946GiB
docker_db_1,0.38%,10.21MiB / 1.946GiB
docker_registry_1,5.70%,59.48MiB / 1.946GiB
docker_persistence_1,17.28%,249.4MiB / 1.946GiB
docker_image_1,16.98%,193.9MiB / 1.946GiB
docker_recommender_1,49.38%,275.3MiB / 1.946GiB
docker_auth_1,63.91%,344.3MiB / 1.946GiB
docker_webui_1,59.13%,476.1MiB / 1.946GiB
docker_db_1,0.22%,9.703MiB / 1.946GiB
docker_registry_1,4.71%,59.31MiB / 1.946GiB
docker_persistence_1,55.66%,251.2MiB / 1.946GiB
docker_image_1,7.80%,188.5MiB / 1.946GiB
docker_recommender_1,31.44%,276.2MiB / 1.946GiB
