timestamp,status,response_time_ms,http_code
1776116467219,up,121,200
1776116468578,up,111,200
1776116470126,up,166,200
1776116471326,up,97,200
1776116472466,up,73,200
1776116473577,up,97,200
1776116474702,up,142,200
1776116475874,up,282,200
1776116477192,up,41,200
1776116478261,up,35,200
1776116479326,up,86,200
1776116480453,up,62,200
1776116481544,up,68,200
1776116482653,up,283,200
1776116483973,up,1261,200
1776116486277,up,166,200
1776116487480,up,359,200
1776116488879,up,123,200
1776116490052,up,292,200
1776116491379,up,99,200
1776116492515,up,159,200
1776116493706,up,73,200
1776116494814,up,646,200
1776116496501,up,370,200
1776116497907,up,457,200
1776116499386,up,1887,200
1776116502307,up,4181,200
1776116507553,down,5002,000
1776116513617,down,5002,000
1776116519693,down,5017,000
1776116525812,down,5001,000
1776116532022,down,5003,000
1776116538112,down,5002,000
1776116544209,down,5002,000
1776116550313,down,5003,000
1776116556668,down,5002,000
1776116563217,down,5000,000
1776116570233,down,5002,000
1776116576528,down,5001,000
1776116582897,down,5002,000
1776116588956,down,5001,000
1776116595002,down,5001,000
1776116601058,down,5001,000
