$0;1776122142362087434;1.15-SNAPSHOT;KIEKER;6b5b030c8ee1;1;false;0;NANOSECONDS;0
$1;1776122253374856895;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649985;1776122250283251677;1776122253373915339;6b5b030c8ee1;1;1
$1;1776122256024937048;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649985;1776122253729177013;1776122256024884073;6b5b030c8ee1;2;1
$1;1776122257302132922;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649985;1776122256184980672;1776122257302106857;6b5b030c8ee1;5;1
$1;1776122259821499789;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649986;1776122259789872955;1776122259821466869;6b5b030c8ee1;1;1
$1;1776122259880279242;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649986;1776122259821580076;1776122259880256361;6b5b030c8ee1;2;1
$1;1776122259949905624;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649986;1776122259880403892;1776122259949867736;6b5b030c8ee1;5;1
$1;1776122262995981650;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649986;1776122259789843019;1776122262995944530;6b5b030c8ee1;0;0
$1;1776122262999144335;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649985;1776122250080953957;1776122262999110127;6b5b030c8ee1;0;0
$1;1776122263399294511;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649987;1776122263378525728;1776122263399249051;6b5b030c8ee1;1;1
$1;1776122263434380601;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649987;1776122263399448029;1776122263434335974;6b5b030c8ee1;2;1
$1;1776122263644452722;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649987;1776122263434551606;1776122263644428314;6b5b030c8ee1;5;1
$1;1776122263699053261;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;6579899793076649987;1776122263378482948;1776122263699013408;6b5b030c8ee1;0;0
$1;1776122265532751567;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;6579899793076649988;1776122265423775374;1776122265532697284;6b5b030c8ee1;1;1
$1;1776122265624205249;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;6579899793076649988;1776122265533306154;1776122265624179276;6b5b030c8ee1;2;1
$1;1776122265683860873;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;6579899793076649988;1776122265624301070;1776122265683833973;6b5b030c8ee1;5;1
