$0;1776129017485337527;1.15-SNAPSHOT;KIEKER;1374ad4ea4b0;1;false;0;NANOSECONDS;0
$1;1776129123949168543;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590785;1776129121506270868;1776129123934020461;1374ad4ea4b0;1;1
$1;1776129125601958586;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590785;1776129124059212877;1776129125601929125;1374ad4ea4b0;2;1
$1;1776129126685818904;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590785;1776129125687746150;1776129126685785352;1374ad4ea4b0;5;1
$1;1776129133952306838;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;9021695216041590785;1776129121427198119;1776129133952087617;1374ad4ea4b0;0;0
$1;1776129141558552570;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590788;1776129141497245755;1776129141558478748;1374ad4ea4b0;1;1
$1;1776129141604402387;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590788;1776129141558933236;1776129141604365616;1374ad4ea4b0;2;1
$1;1776129141604581567;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590787;1776129141495666729;1776129141604564928;1374ad4ea4b0;1;1
$1;1776129141621802019;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590787;1776129141604645170;1776129141621778389;1374ad4ea4b0;2;1
$1;1776129141665899863;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;9021695216041590786;1776129141495663881;1776129141665871343;1374ad4ea4b0;1;1
$1;1776129141686906370;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590788;1776129141604639160;1776129141686801667;1374ad4ea4b0;5;1
$1;1776129141751756044;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;9021695216041590787;1776129141622465591;1776129141751703200;1374ad4ea4b0;5;1
$1;1776129141948990281;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;9021695216041590786;1776129141667348946;1776129141948943376;1374ad4ea4b0;2;1
