docker_webui_1,28.01%,385.6MiB / 1.946GiB
docker_auth_1,5.06%,232.3MiB / 1.946GiB
docker_persistence_1,4.71%,266MiB / 1.946GiB
docker_db_1,0.08%,62.43MiB / 1.946GiB
docker_recommender_1,24.53%,245.1MiB / 1.946GiB
docker_registry_1,44.31%,99.01MiB / 1.946GiB
docker_image_1,8.02%,309.1MiB / 1.946GiB
docker_webui_1,57.45%,386.2MiB / 1.946GiB
docker_auth_1,31.87%,232.7MiB / 1.946GiB
docker_persistence_1,11.24%,249.5MiB / 1.946GiB
docker_db_1,0.16%,61.35MiB / 1.946GiB
docker_recommender_1,55.69%,250MiB / 1.946GiB
docker_registry_1,8.12%,97.68MiB / 1.946GiB
docker_image_1,12.20%,308.9MiB / 1.946GiB
docker_webui_1,81.31%,386.9MiB / 1.946GiB
docker_auth_1,11.99%,233.6MiB / 1.946GiB
docker_persistence_1,18.86%,250.4MiB / 1.946GiB
docker_db_1,0.19%,61.35MiB / 1.946GiB
docker_recommender_1,9.35%,245.8MiB / 1.946GiB
docker_registry_1,39.47%,103.3MiB / 1.946GiB
docker_image_1,28.27%,310MiB / 1.946GiB
docker_webui_1,45.58%,387.4MiB / 1.946GiB
docker_auth_1,15.22%,235MiB / 1.946GiB
docker_persistence_1,11.04%,249.5MiB / 1.946GiB
docker_db_1,0.25%,61.32MiB / 1.946GiB
docker_recommender_1,4.67%,246.1MiB / 1.946GiB
docker_registry_1,0.95%,95.94MiB / 1.946GiB
docker_image_1,34.95%,311.1MiB / 1.946GiB
docker_webui_1,60.36%,388MiB / 1.946GiB
docker_auth_1,41.66%,237.4MiB / 1.946GiB
docker_persistence_1,29.66%,249.7MiB / 1.946GiB
docker_db_1,0.26%,61.49MiB / 1.946GiB
docker_recommender_1,35.70%,239.9MiB / 1.946GiB
docker_registry_1,2.56%,95.09MiB / 1.946GiB
docker_image_1,14.93%,309.1MiB / 1.946GiB
docker_webui_1,71.19%,403.3MiB / 1.946GiB
docker_auth_1,28.55%,236.2MiB / 1.946GiB
docker_persistence_1,56.97%,249MiB / 1.946GiB
docker_db_1,0.35%,61.47MiB / 1.946GiB
docker_recommender_1,4.61%,236.2MiB / 1.946GiB
docker_registry_1,3.03%,92.42MiB / 1.946GiB
docker_image_1,21.30%,305MiB / 1.946GiB
docker_webui_1,70.10%,405.3MiB / 1.946GiB
docker_auth_1,35.55%,238.4MiB / 1.946GiB
docker_persistence_1,22.77%,252.8MiB / 1.946GiB
docker_db_1,0.39%,61.48MiB / 1.946GiB
docker_recommender_1,46.15%,240.2MiB / 1.946GiB
docker_registry_1,6.86%,92.59MiB / 1.946GiB
docker_image_1,19.03%,305.4MiB / 1.946GiB
docker_webui_1,71.44%,409.4MiB / 1.946GiB
docker_auth_1,38.91%,240.2MiB / 1.946GiB
docker_persistence_1,24.52%,252.7MiB / 1.946GiB
docker_db_1,0.30%,60.5MiB / 1.946GiB
docker_recommender_1,54.91%,236.1MiB / 1.946GiB
docker_registry_1,3.14%,92.81MiB / 1.946GiB
docker_image_1,27.66%,301MiB / 1.946GiB
docker_webui_1,57.27%,439.9MiB / 1.946GiB
docker_auth_1,32.75%,238.8MiB / 1.946GiB
docker_persistence_1,46.89%,247.3MiB / 1.946GiB
docker_db_1,0.37%,54.89MiB / 1.946GiB
docker_recommender_1,2.03%,230.3MiB / 1.946GiB
docker_registry_1,46.01%,92.32MiB / 1.946GiB
docker_image_1,72.11%,303.3MiB / 1.946GiB
docker_webui_1,49.25%,461.6MiB / 1.946GiB
docker_auth_1,56.29%,237.5MiB / 1.946GiB
docker_persistence_1,32.08%,251.2MiB / 1.946GiB
docker_db_1,0.50%,56.33MiB / 1.946GiB
docker_recommender_1,45.58%,226.1MiB / 1.946GiB
docker_registry_1,5.43%,87.91MiB / 1.946GiB
docker_image_1,41.90%,300.5MiB / 1.946GiB
docker_webui_1,126.76%,488.7MiB / 1.946GiB
docker_auth_1,3.91%,235.6MiB / 1.946GiB
docker_persistence_1,55.34%,261.2MiB / 1.946GiB
docker_db_1,0.68%,50.95MiB / 1.946GiB
docker_recommender_1,1.59%,213.9MiB / 1.946GiB
docker_registry_1,3.66%,86.16MiB / 1.946GiB
docker_image_1,4.46%,289.8MiB / 1.946GiB
docker_webui_1,51.58%,512.8MiB / 1.946GiB
docker_auth_1,33.29%,236MiB / 1.946GiB
docker_persistence_1,53.92%,268.8MiB / 1.946GiB
docker_db_1,0.43%,43.85MiB / 1.946GiB
docker_recommender_1,12.07%,206MiB / 1.946GiB
docker_registry_1,1.03%,80.86MiB / 1.946GiB
