$0;1776111449606733853;1.15-SNAPSHOT;KIEKER;f0fdca49a211;1;false;0;NANOSECONDS;0
$1;1776111555150277930;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906945;1776111552584946122;1776111555137925301;f0fdca49a211;1;1
$1;1776111556861582682;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906945;1776111555199955606;1776111556861456159;f0fdca49a211;2;1
$1;1776111558100953219;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906945;1776111556960884451;1776111558100924796;f0fdca49a211;5;1
$1;1776111563431315796;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906945;1776111552461386864;1776111563431280790;f0fdca49a211;0;0
$1;1776111569202105196;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906948;1776111568801286251;1776111569201944067;f0fdca49a211;1;1
$1;1776111569203897327;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906946;1776111568463799454;1776111569203881319;f0fdca49a211;1;1
$1;1776111569232642635;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906947;1776111568514974342;1776111569232619031;f0fdca49a211;1;1
$1;1776111569301707028;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906946;1776111569203933210;1776111569301675674;f0fdca49a211;2;1
$1;1776111569309288663;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906947;1776111569232722501;1776111569309264710;f0fdca49a211;2;1
$1;1776111569322238020;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;854698766781906948;1776111569202448679;1776111569322214682;f0fdca49a211;2;1
$1;1776111569385678108;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906946;1776111569301821759;1776111569385646688;f0fdca49a211;5;1
$1;1776111569418885148;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906948;1776111569322305075;1776111569418850156;f0fdca49a211;5;1
$1;1776111569425744560;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;854698766781906947;1776111569309361447;1776111569425720150;f0fdca49a211;5;1
$1;1776111569452519905;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906947;1776111568514946252;1776111569452485326;f0fdca49a211;0;0
$1;1776111569479127946;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906946;1776111568463734372;1776111569467247427;f0fdca49a211;0;0
$1;1776111569489442913;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;854698766781906948;1776111568801256045;1776111569489413486;f0fdca49a211;0;0
$1;1776111569829256837;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906949;1776111569802787591;1776111569829230057;f0fdca49a211;1;1
$1;1776111569865365491;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;854698766781906950;1776111569817087682;1776111569865334436;f0fdca49a211;1;1
