$0;1776129739865100523;1.15-SNAPSHOT;KIEKER;1fdd072a47d5;1;false;0;NANOSECONDS;0
$1;1776129851684039339;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073985;1776129848900517472;1776129851683505961;1fdd072a47d5;1;1
$1;1776129853517612525;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073985;1776129851787995858;1776129853517565319;1fdd072a47d5;2;1
$1;1776129855327924387;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073985;1776129853689372646;1776129855327854107;1fdd072a47d5;5;1
$1;1776129861767605357;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073985;1776129848826193203;1776129861767540634;1fdd072a47d5;0;0
$1;1776129867882582810;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073986;1776129867850650159;1776129867882529431;1fdd072a47d5;1;1
$1;1776129867970309924;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073986;1776129867883507462;1776129867970282937;1fdd072a47d5;2;1
$1;1776129868006474052;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073986;1776129867970428705;1776129868006433432;1fdd072a47d5;5;1
$1;1776129868074661509;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073986;1776129867850608908;1776129868074628586;1fdd072a47d5;0;0
$1;1776129868194211865;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073987;1776129868133824693;1776129868194186019;1fdd072a47d5;1;1
$1;1776129868212274328;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073987;1776129868194358305;1776129868212250701;1fdd072a47d5;2;1
$1;1776129868230949191;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073987;1776129868212348988;1776129868230926420;1fdd072a47d5;5;1
$1;1776129868255131980;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073987;1776129868133804288;1776129868255085283;1fdd072a47d5;0;0
$1;1776129868677033112;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073988;1776129868640117230;1776129868676956209;1fdd072a47d5;1;1
$1;1776129868701429195;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;8585409002140073988;1776129868677168521;1776129868701399578;1fdd072a47d5;2;1
$1;1776129868720438964;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;8585409002140073988;1776129868701536151;1776129868720401136;1fdd072a47d5;5;1
$1;1776129868726478759;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;8585409002140073988;1776129868640085283;1776129868726440446;1fdd072a47d5;0;0
$1;1776129869573984037;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073989;1776129869488628653;1776129869573947713;1fdd072a47d5;1;1
$1;1776129869606294972;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;8585409002140073990;1776129869503713868;1776129869606254177;1fdd072a47d5;1;1
