$0;1776060090389472803;1.15-SNAPSHOT;KIEKER;efc6074ddc60;1;false;0;NANOSECONDS;0
$1;1776060199288175049;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715073;1776060197190520711;1776060199287519464;efc6074ddc60;1;1
$1;1776060201366780682;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715073;1776060199384970964;1776060201366729197;efc6074ddc60;2;1
$1;1776060203323824501;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715073;1776060201465656548;1776060203323784131;efc6074ddc60;5;1
$1;1776060209261717560;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715073;1776060196935772509;1776060209261677032;efc6074ddc60;0;0
$1;1776060214588847079;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715074;1776060214562367512;1776060214588815182;efc6074ddc60;1;1
$1;1776060214609665321;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715074;1776060214589425704;1776060214609637512;efc6074ddc60;2;1
$1;1776060214639649031;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715074;1776060214610222175;1776060214639616395;efc6074ddc60;5;1
$1;1776060214680018442;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715074;1776060214562304739;1776060214679991811;efc6074ddc60;0;0
$1;1776060214831957354;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715075;1776060214801319250;1776060214831917842;efc6074ddc60;1;1
$1;1776060214856810556;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715075;1776060214832067275;1776060214856777107;efc6074ddc60;2;1
$1;1776060214894613866;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715075;1776060214857336495;1776060214894583618;efc6074ddc60;5;1
$1;1776060214898181068;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715075;1776060214801298806;1776060214898161488;efc6074ddc60;0;0
$1;1776060215080368843;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715076;1776060215059021782;1776060215080333265;efc6074ddc60;1;1
$1;1776060215092714821;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715076;1776060215080466999;1776060215092686542;efc6074ddc60;2;1
$1;1776060215116606917;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;2979975578435715076;1776060215092806025;1776060215116578474;efc6074ddc60;5;1
$1;1776060215132109720;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;2979975578435715076;1776060215058999502;1776060215132075027;efc6074ddc60;0;0
$1;1776060215990744418;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715077;1776060215959920507;1776060215990707345;efc6074ddc60;1;1
$1;1776060216012515669;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;2979975578435715078;1776060215972227570;1776060216012478693;efc6074ddc60;1;1
$1;1776060216021769711;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715077;1776060215990863692;1776060216021746321;efc6074ddc60;2;1
$1;1776060216037028683;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;2979975578435715078;1776060216012621728;1776060216036994814;efc6074ddc60;2;1
