$0;1776129380382921031;1.15-SNAPSHOT;KIEKER;1d1e0cfaac31;1;false;0;NANOSECONDS;0
$1;1776129490951296207;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590657;1776129488667096581;1776129490950264576;1d1e0cfaac31;1;1
$1;1776129492628031765;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590657;1776129490981689165;1776129492627997289;1d1e0cfaac31;2;1
$1;1776129493610472140;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590657;1776129492681592288;1776129493610431865;1d1e0cfaac31;5;1
$1;1776129499997726461;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590657;1776129488503816422;1776129499997666939;1d1e0cfaac31;0;0
$1;1776129506565688853;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590658;1776129506459622874;1776129506565620070;1d1e0cfaac31;1;1
$1;1776129506626262074;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590658;1776129506566601899;1776129506626230472;1d1e0cfaac31;2;1
$1;1776129506796290933;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590658;1776129506649244867;1776129506796260639;1d1e0cfaac31;5;1
$1;1776129506837757384;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;967851707419590658;1776129506459567957;1776129506837731853;1d1e0cfaac31;0;0
$1;1776129506860059349;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;967851707419590659;1776129506802376093;1776129506860037386;1d1e0cfaac31;1;1
$1;1776129506878144610;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;967851707419590659;1776129506860130884;1776129506878121217;1d1e0cfaac31;2;1
$1;1776129506889915338;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;967851707419590659;1776129506878501154;1776129506889880442;1d1e0cfaac31;5;1
