$0;1776059729571648046;1.15-SNAPSHOT;KIEKER;e189131b4c30;1;false;0;NANOSECONDS;0
$1;1776059840807168231;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3360107534483456001;1776059838591698649;1776059840806387513;e189131b4c30;1;1
$1;1776059843292257184;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3360107534483456001;1776059840910867093;1776059843292225459;e189131b4c30;2;1
$1;1776059844709100366;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3360107534483456001;1776059843396812658;1776059844709066736;e189131b4c30;5;1
$1;1776059850907887240;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3360107534483456001;1776059838537176284;1776059850907831530;e189131b4c30;0;0
$1;1776059855969573847;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3360107534483456002;1776059855916249411;1776059855969524855;e189131b4c30;1;1
$1;1776059855991030293;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3360107534483456002;1776059855970397708;1776059855991000433;e189131b4c30;2;1
$1;1776059856024638888;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3360107534483456002;1776059855991150396;1776059856024606455;e189131b4c30;5;1
$1;1776059856042072932;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3360107534483456002;1776059855916197908;1776059856042049172;e189131b4c30;0;0
$1;1776059856214525695;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3360107534483456003;1776059856172401289;1776059856214415895;e189131b4c30;1;1
$1;1776059856239005818;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3360107534483456003;1776059856214674008;1776059856238981680;e189131b4c30;2;1
