docker_image_1,0.84%,305.5MiB / 1.946GiB
docker_auth_1,44.93%,298.5MiB / 1.946GiB
docker_db_1,0.11%,37.68MiB / 1.946GiB
docker_recommender_1,5.81%,234MiB / 1.946GiB
docker_persistence_1,20.70%,273.8MiB / 1.946GiB
docker_webui_1,18.43%,317MiB / 1.946GiB
docker_registry_1,5.56%,99.96MiB / 1.946GiB
docker_image_1,31.66%,302.7MiB / 1.946GiB
docker_auth_1,29.44%,290.2MiB / 1.946GiB
docker_db_1,0.39%,39.2MiB / 1.946GiB
docker_recommender_1,45.19%,231.1MiB / 1.946GiB
docker_persistence_1,46.99%,265.1MiB / 1.946GiB
docker_webui_1,70.66%,335.8MiB / 1.946GiB
docker_registry_1,3.13%,89.66MiB / 1.946GiB
docker_image_1,28.41%,294.3MiB / 1.946GiB
docker_auth_1,51.03%,292.9MiB / 1.946GiB
docker_db_1,0.42%,34.95MiB / 1.946GiB
docker_recommender_1,22.34%,224MiB / 1.946GiB
docker_persistence_1,50.42%,258.8MiB / 1.946GiB
docker_webui_1,73.39%,390.4MiB / 1.946GiB
docker_registry_1,1.43%,77.88MiB / 1.946GiB
docker_image_1,38.44%,293.3MiB / 1.946GiB
docker_auth_1,15.94%,293.9MiB / 1.946GiB
docker_db_1,0.46%,31.83MiB / 1.946GiB
docker_recommender_1,51.01%,222.3MiB / 1.946GiB
docker_persistence_1,41.03%,267.1MiB / 1.946GiB
docker_webui_1,57.83%,414.5MiB / 1.946GiB
docker_registry_1,4.54%,71.14MiB / 1.946GiB
docker_image_1,32.23%,289.7MiB / 1.946GiB
docker_auth_1,19.78%,263.7MiB / 1.946GiB
docker_db_1,1.83%,31.53MiB / 1.946GiB
docker_recommender_1,8.57%,196.7MiB / 1.946GiB
docker_persistence_1,56.95%,292.3MiB / 1.946GiB
docker_webui_1,73.09%,465.7MiB / 1.946GiB
docker_registry_1,19.17%,60.95MiB / 1.946GiB
docker_image_1,41.84%,292.9MiB / 1.946GiB
docker_auth_1,16.25%,245.4MiB / 1.946GiB
docker_db_1,0.39%,34.98MiB / 1.946GiB
docker_recommender_1,42.63%,192.3MiB / 1.946GiB
docker_persistence_1,41.43%,309.3MiB / 1.946GiB
docker_webui_1,46.71%,484.4MiB / 1.946GiB
docker_registry_1,1.85%,55.88MiB / 1.946GiB
docker_image_1,37.69%,286.4MiB / 1.946GiB
docker_auth_1,38.04%,239.9MiB / 1.946GiB
docker_db_1,2.51%,32.9MiB / 1.946GiB
docker_recommender_1,26.61%,172.9MiB / 1.946GiB
docker_persistence_1,54.66%,310.3MiB / 1.946GiB
docker_webui_1,50.71%,501.6MiB / 1.946GiB
docker_registry_1,2.09%,53.39MiB / 1.946GiB
docker_image_1,57.72%,293.9MiB / 1.946GiB
docker_auth_1,43.67%,239.7MiB / 1.946GiB
docker_db_1,0.67%,32.48MiB / 1.946GiB
docker_recommender_1,4.57%,166.9MiB / 1.946GiB
docker_persistence_1,37.71%,306.7MiB / 1.946GiB
docker_webui_1,61.33%,504.8MiB / 1.946GiB
docker_registry_1,2.25%,52.22MiB / 1.946GiB
docker_image_1,55.24%,286.8MiB / 1.946GiB
docker_auth_1,35.26%,241.5MiB / 1.946GiB
docker_db_1,0.25%,32.25MiB / 1.946GiB
docker_recommender_1,29.85%,163.9MiB / 1.946GiB
docker_persistence_1,36.16%,298.7MiB / 1.946GiB
docker_webui_1,52.93%,507.9MiB / 1.946GiB
docker_registry_1,7.99%,55.86MiB / 1.946GiB
docker_image_1,29.41%,284.6MiB / 1.946GiB
docker_auth_1,47.16%,238MiB / 1.946GiB
docker_db_1,0.66%,32.02MiB / 1.946GiB
docker_recommender_1,26.99%,168.5MiB / 1.946GiB
docker_persistence_1,48.01%,291.9MiB / 1.946GiB
docker_webui_1,58.81%,523.1MiB / 1.946GiB
docker_registry_1,1.72%,54.64MiB / 1.946GiB
docker_image_1,56.08%,292.2MiB / 1.946GiB
docker_auth_1,35.63%,228.8MiB / 1.946GiB
docker_db_1,0.89%,32MiB / 1.946GiB
docker_recommender_1,6.05%,164.6MiB / 1.946GiB
docker_persistence_1,53.97%,291.2MiB / 1.946GiB
docker_webui_1,52.08%,515.9MiB / 1.946GiB
docker_registry_1,1.57%,53.31MiB / 1.946GiB
docker_image_1,42.30%,296.2MiB / 1.946GiB
docker_auth_1,22.79%,232.3MiB / 1.946GiB
docker_db_1,0.76%,31.45MiB / 1.946GiB
docker_recommender_1,33.14%,163.4MiB / 1.946GiB
docker_persistence_1,55.94%,292.3MiB / 1.946GiB
docker_webui_1,83.60%,518MiB / 1.946GiB
docker_registry_1,1.10%,52.02MiB / 1.946GiB
docker_image_1,47.45%,282.7MiB / 1.946GiB
docker_auth_1,21.57%,229.2MiB / 1.946GiB
docker_db_1,0.47%,30.41MiB / 1.946GiB
docker_recommender_1,19.94%,202.2MiB / 1.946GiB
docker_persistence_1,25.66%,274.4MiB / 1.946GiB
docker_webui_1,71.77%,527.9MiB / 1.946GiB
docker_registry_1,15.07%,50.8MiB / 1.946GiB
docker_image_1,40.44%,275.8MiB / 1.946GiB
docker_auth_1,59.34%,235.2MiB / 1.946GiB
docker_db_1,0.41%,26.9MiB / 1.946GiB
docker_recommender_1,4.72%,204.7MiB / 1.946GiB
docker_persistence_1,50.80%,268MiB / 1.946GiB
docker_webui_1,50.29%,531.6MiB / 1.946GiB
docker_registry_1,1.61%,50.34MiB / 1.946GiB
docker_image_1,48.94%,267.7MiB / 1.946GiB
docker_auth_1,29.72%,240MiB / 1.946GiB
docker_db_1,0.16%,25.88MiB / 1.946GiB
docker_recommender_1,63.00%,207.7MiB / 1.946GiB
docker_persistence_1,1.09%,265.2MiB / 1.946GiB
docker_webui_1,80.81%,541.4MiB / 1.946GiB
docker_registry_1,3.89%,50.95MiB / 1.946GiB
docker_image_1,60.76%,273MiB / 1.946GiB
docker_auth_1,38.01%,229.8MiB / 1.946GiB
docker_db_1,0.72%,23.69MiB / 1.946GiB
docker_recommender_1,3.50%,210.6MiB / 1.946GiB
docker_persistence_1,63.53%,261.6MiB / 1.946GiB
docker_webui_1,64.87%,544.9MiB / 1.946GiB
docker_registry_1,1.89%,51.43MiB / 1.946GiB
docker_image_1,51.27%,265.3MiB / 1.946GiB
docker_auth_1,7.28%,222.2MiB / 1.946GiB
docker_db_1,0.73%,21.64MiB / 1.946GiB
docker_recommender_1,30.92%,210.5MiB / 1.946GiB
docker_persistence_1,46.99%,262.3MiB / 1.946GiB
docker_webui_1,77.82%,555.7MiB / 1.946GiB
docker_registry_1,1.19%,51.6MiB / 1.946GiB
docker_image_1,63.11%,270.7MiB / 1.946GiB
docker_auth_1,36.74%,223.9MiB / 1.946GiB
docker_db_1,0.49%,21.64MiB / 1.946GiB
docker_recommender_1,4.53%,212.7MiB / 1.946GiB
docker_persistence_1,24.29%,262.7MiB / 1.946GiB
docker_webui_1,79.54%,556.4MiB / 1.946GiB
docker_registry_1,8.50%,52.04MiB / 1.946GiB
docker_image_1,66.11%,269.1MiB / 1.946GiB
docker_auth_1,40.03%,218.1MiB / 1.946GiB
docker_db_1,0.25%,19.91MiB / 1.946GiB
docker_recommender_1,17.08%,210.6MiB / 1.946GiB
docker_persistence_1,28.29%,254.2MiB / 1.946GiB
docker_webui_1,64.33%,579.6MiB / 1.946GiB
docker_registry_1,1.23%,53.66MiB / 1.946GiB
docker_image_1,26.87%,268.7MiB / 1.946GiB
docker_auth_1,52.28%,215.8MiB / 1.946GiB
docker_db_1,0.20%,18.39MiB / 1.946GiB
docker_recommender_1,19.51%,209.4MiB / 1.946GiB
docker_persistence_1,6.95%,250.3MiB / 1.946GiB
docker_webui_1,61.54%,589.9MiB / 1.946GiB
docker_registry_1,42.65%,69.81MiB / 1.946GiB
docker_image_1,10.82%,259.8MiB / 1.946GiB
docker_auth_1,22.86%,204.1MiB / 1.946GiB
docker_db_1,0.98%,16.08MiB / 1.946GiB
docker_recommender_1,7.00%,214.2MiB / 1.946GiB
docker_persistence_1,50.56%,260.7MiB / 1.946GiB
docker_webui_1,106.05%,594.6MiB / 1.946GiB
docker_registry_1,2.16%,73.23MiB / 1.946GiB
docker_image_1,66.36%,255.3MiB / 1.946GiB
docker_auth_1,19.04%,194.2MiB / 1.946GiB
docker_db_1,0.18%,21.03MiB / 1.946GiB
docker_recommender_1,5.14%,213.6MiB / 1.946GiB
docker_persistence_1,46.45%,268.5MiB / 1.946GiB
docker_webui_1,76.22%,584.2MiB / 1.946GiB
docker_registry_1,4.80%,66.83MiB / 1.946GiB
docker_image_1,49.62%,250.3MiB / 1.946GiB
docker_auth_1,9.75%,187.8MiB / 1.946GiB
docker_db_1,0.34%,18.16MiB / 1.946GiB
docker_recommender_1,23.45%,207.7MiB / 1.946GiB
docker_persistence_1,41.47%,272.6MiB / 1.946GiB
docker_webui_1,87.31%,599.1MiB / 1.946GiB
docker_registry_1,2.21%,65.56MiB / 1.946GiB
docker_image_1,29.63%,250.4MiB / 1.946GiB
docker_auth_1,27.03%,182.3MiB / 1.946GiB
docker_db_1,0.53%,17.27MiB / 1.946GiB
docker_recommender_1,7.29%,203.4MiB / 1.946GiB
