docker_db_1,0.13%,67.96MiB / 1.946GiB
docker_image_1,6.94%,302.6MiB / 1.946GiB
docker_auth_1,5.81%,275.1MiB / 1.946GiB
docker_persistence_1,9.50%,297.5MiB / 1.946GiB
docker_recommender_1,23.71%,266MiB / 1.946GiB
docker_registry_1,3.31%,78.96MiB / 1.946GiB
docker_webui_1,28.56%,334.8MiB / 1.946GiB
docker_db_1,0.16%,66.24MiB / 1.946GiB
docker_image_1,21.64%,297.2MiB / 1.946GiB
docker_auth_1,29.76%,274.7MiB / 1.946GiB
docker_persistence_1,3.97%,279.4MiB / 1.946GiB
docker_recommender_1,79.19%,274.6MiB / 1.946GiB
docker_registry_1,3.63%,72.67MiB / 1.946GiB
docker_webui_1,36.67%,328.1MiB / 1.946GiB
docker_db_1,0.23%,66.42MiB / 1.946GiB
docker_image_1,25.79%,297MiB / 1.946GiB
docker_auth_1,31.34%,281.5MiB / 1.946GiB
docker_persistence_1,34.31%,276.7MiB / 1.946GiB
docker_recommender_1,11.42%,265.6MiB / 1.946GiB
docker_registry_1,1.40%,72.47MiB / 1.946GiB
docker_webui_1,80.67%,326.9MiB / 1.946GiB
docker_db_1,0.28%,66.42MiB / 1.946GiB
docker_image_1,28.82%,300.4MiB / 1.946GiB
docker_auth_1,10.04%,276.8MiB / 1.946GiB
docker_persistence_1,55.10%,277.7MiB / 1.946GiB
docker_recommender_1,1.59%,265.7MiB / 1.946GiB
docker_registry_1,2.48%,71.36MiB / 1.946GiB
docker_webui_1,47.89%,328.2MiB / 1.946GiB
docker_db_1,0.26%,65.55MiB / 1.946GiB
docker_image_1,28.05%,297.4MiB / 1.946GiB
docker_auth_1,27.89%,278.4MiB / 1.946GiB
docker_persistence_1,51.52%,278.6MiB / 1.946GiB
docker_recommender_1,17.07%,264.6MiB / 1.946GiB
docker_registry_1,3.14%,69.19MiB / 1.946GiB
docker_webui_1,71.12%,335.7MiB / 1.946GiB
docker_db_1,0.39%,63.79MiB / 1.946GiB
docker_image_1,39.30%,295.2MiB / 1.946GiB
docker_auth_1,47.95%,275.6MiB / 1.946GiB
docker_persistence_1,36.60%,280.7MiB / 1.946GiB
docker_recommender_1,24.62%,258.8MiB / 1.946GiB
docker_registry_1,2.08%,67.92MiB / 1.946GiB
docker_webui_1,60.73%,338MiB / 1.946GiB
docker_db_1,0.39%,59.41MiB / 1.946GiB
docker_image_1,43.45%,290.5MiB / 1.946GiB
docker_auth_1,27.44%,272.6MiB / 1.946GiB
docker_persistence_1,25.28%,272.2MiB / 1.946GiB
docker_recommender_1,17.39%,250.5MiB / 1.946GiB
docker_registry_1,5.18%,65.62MiB / 1.946GiB
docker_webui_1,112.11%,381.6MiB / 1.946GiB
docker_db_1,0.44%,58.53MiB / 1.946GiB
docker_image_1,52.22%,280.4MiB / 1.946GiB
docker_auth_1,35.33%,272.6MiB / 1.946GiB
docker_persistence_1,31.10%,268.4MiB / 1.946GiB
docker_recommender_1,11.11%,244MiB / 1.946GiB
docker_registry_1,2.95%,65.43MiB / 1.946GiB
docker_webui_1,55.39%,397.1MiB / 1.946GiB
