docker_db_1,0.14%,43.55MiB / 1.946GiB
docker_auth_1,60.19%,275.6MiB / 1.946GiB
docker_registry_1,5.28%,92.52MiB / 1.946GiB
docker_image_1,18.74%,280.3MiB / 1.946GiB
docker_webui_1,80.11%,348.7MiB / 1.946GiB
docker_recommender_1,37.76%,253.5MiB / 1.946GiB
docker_persistence_1,15.07%,292.1MiB / 1.946GiB
docker_db_1,0.33%,44.85MiB / 1.946GiB
docker_auth_1,40.79%,272.9MiB / 1.946GiB
docker_registry_1,23.29%,86.64MiB / 1.946GiB
docker_image_1,40.11%,280.4MiB / 1.946GiB
docker_webui_1,40.82%,362.3MiB / 1.946GiB
docker_recommender_1,46.38%,262.9MiB / 1.946GiB
docker_persistence_1,22.97%,271.2MiB / 1.946GiB
docker_db_1,0.32%,42.15MiB / 1.946GiB
docker_auth_1,44.00%,265.6MiB / 1.946GiB
docker_registry_1,13.69%,81.31MiB / 1.946GiB
docker_image_1,42.67%,282MiB / 1.946GiB
docker_webui_1,51.47%,384.8MiB / 1.946GiB
docker_recommender_1,3.70%,257.1MiB / 1.946GiB
docker_persistence_1,45.93%,283.1MiB / 1.946GiB
docker_db_1,0.18%,40.55MiB / 1.946GiB
docker_auth_1,21.78%,253.1MiB / 1.946GiB
docker_registry_1,12.79%,80.02MiB / 1.946GiB
docker_image_1,15.27%,283.9MiB / 1.946GiB
docker_webui_1,98.55%,403.1MiB / 1.946GiB
docker_recommender_1,42.40%,248MiB / 1.946GiB
docker_persistence_1,15.89%,279.3MiB / 1.946GiB
docker_db_1,0.54%,39.65MiB / 1.946GiB
docker_auth_1,67.87%,255.5MiB / 1.946GiB
docker_registry_1,10.31%,77.75MiB / 1.946GiB
docker_image_1,16.78%,282MiB / 1.946GiB
docker_webui_1,96.91%,423.3MiB / 1.946GiB
docker_recommender_1,8.02%,238MiB / 1.946GiB
docker_persistence_1,15.99%,276.2MiB / 1.946GiB
docker_db_1,0.10%,37.1MiB / 1.946GiB
docker_auth_1,11.42%,256.9MiB / 1.946GiB
docker_registry_1,3.27%,75.18MiB / 1.946GiB
docker_image_1,12.89%,282.4MiB / 1.946GiB
docker_webui_1,180.83%,429MiB / 1.946GiB
docker_recommender_1,8.23%,236.8MiB / 1.946GiB
docker_persistence_1,41.21%,277.2MiB / 1.946GiB
docker_db_1,2.38%,35.25MiB / 1.946GiB
docker_auth_1,26.31%,247.8MiB / 1.946GiB
docker_registry_1,3.71%,70.68MiB / 1.946GiB
docker_image_1,47.45%,275.3MiB / 1.946GiB
docker_webui_1,81.80%,454.3MiB / 1.946GiB
docker_recommender_1,6.60%,224.1MiB / 1.946GiB
docker_persistence_1,57.00%,311.3MiB / 1.946GiB
docker_db_1,0.09%,34.8MiB / 1.946GiB
docker_auth_1,60.55%,255.6MiB / 1.946GiB
docker_registry_1,18.94%,73.04MiB / 1.946GiB
docker_image_1,11.99%,266.6MiB / 1.946GiB
docker_webui_1,61.55%,457.2MiB / 1.946GiB
docker_recommender_1,19.81%,218.8MiB / 1.946GiB
docker_persistence_1,7.40%,306.5MiB / 1.946GiB
