docker_auth_1,54.89%,218.7MiB / 1.946GiB
docker_persistence_1,24.26%,279.7MiB / 1.946GiB
docker_db_1,0.10%,41.07MiB / 1.946GiB
docker_webui_1,28.69%,360.5MiB / 1.946GiB
docker_recommender_1,5.49%,269.4MiB / 1.946GiB
docker_registry_1,7.36%,82.63MiB / 1.946GiB
docker_image_1,5.42%,329.4MiB / 1.946GiB
docker_auth_1,13.02%,217.9MiB / 1.946GiB
docker_persistence_1,0.26%,274.1MiB / 1.946GiB
docker_db_1,0.11%,40.12MiB / 1.946GiB
docker_webui_1,50.96%,357.4MiB / 1.946GiB
docker_recommender_1,58.65%,274.2MiB / 1.946GiB
docker_registry_1,18.90%,80.44MiB / 1.946GiB
docker_image_1,10.78%,328.7MiB / 1.946GiB
docker_auth_1,21.05%,215.4MiB / 1.946GiB
docker_persistence_1,1.57%,262.1MiB / 1.946GiB
docker_db_1,0.09%,38.27MiB / 1.946GiB
docker_webui_1,17.34%,360MiB / 1.946GiB
docker_recommender_1,23.82%,280.4MiB / 1.946GiB
docker_registry_1,11.11%,78.42MiB / 1.946GiB
docker_image_1,10.84%,330.8MiB / 1.946GiB
docker_auth_1,5.82%,215.8MiB / 1.946GiB
docker_persistence_1,0.24%,262.3MiB / 1.946GiB
docker_db_1,0.12%,38.27MiB / 1.946GiB
docker_webui_1,37.68%,360.3MiB / 1.946GiB
docker_recommender_1,7.79%,273MiB / 1.946GiB
docker_registry_1,3.49%,79.37MiB / 1.946GiB
docker_image_1,0.31%,328.6MiB / 1.946GiB
docker_auth_1,7.81%,213.9MiB / 1.946GiB
docker_persistence_1,13.45%,262.5MiB / 1.946GiB
docker_db_1,0.19%,38.12MiB / 1.946GiB
docker_webui_1,18.69%,361.9MiB / 1.946GiB
docker_recommender_1,30.75%,270.2MiB / 1.946GiB
docker_registry_1,4.09%,80.13MiB / 1.946GiB
docker_image_1,37.75%,345.1MiB / 1.946GiB
docker_auth_1,5.78%,214.3MiB / 1.946GiB
docker_persistence_1,0.46%,265MiB / 1.946GiB
docker_db_1,0.15%,38.12MiB / 1.946GiB
docker_webui_1,27.76%,362.4MiB / 1.946GiB
docker_recommender_1,16.99%,263MiB / 1.946GiB
docker_registry_1,2.05%,81.26MiB / 1.946GiB
docker_image_1,13.67%,335MiB / 1.946GiB
docker_auth_1,3.47%,214.2MiB / 1.946GiB
docker_persistence_1,1.97%,269.4MiB / 1.946GiB
docker_db_1,0.10%,37.88MiB / 1.946GiB
docker_webui_1,46.25%,361.1MiB / 1.946GiB
docker_recommender_1,3.41%,260.4MiB / 1.946GiB
docker_registry_1,3.30%,82.3MiB / 1.946GiB
docker_image_1,67.40%,329.7MiB / 1.946GiB
docker_auth_1,64.21%,238.1MiB / 1.946GiB
docker_persistence_1,1.12%,259.1MiB / 1.946GiB
docker_db_1,0.16%,37.02MiB / 1.946GiB
docker_webui_1,5.79%,359.6MiB / 1.946GiB
docker_recommender_1,22.27%,259.9MiB / 1.946GiB
docker_registry_1,3.71%,83.65MiB / 1.946GiB
docker_image_1,10.45%,323.7MiB / 1.946GiB
docker_auth_1,9.82%,227.8MiB / 1.946GiB
docker_persistence_1,4.69%,260.6MiB / 1.946GiB
docker_db_1,0.11%,37.02MiB / 1.946GiB
docker_webui_1,15.25%,360MiB / 1.946GiB
docker_recommender_1,3.61%,260MiB / 1.946GiB
docker_registry_1,4.99%,84.53MiB / 1.946GiB
