docker_image_1,49.47%,324.9MiB / 1.946GiB
docker_persistence_1,13.55%,239.2MiB / 1.946GiB
docker_auth_1,8.41%,276.6MiB / 1.946GiB
docker_registry_1,2.07%,79MiB / 1.946GiB
docker_db_1,0.16%,40MiB / 1.946GiB
docker_recommender_1,4.02%,305.6MiB / 1.946GiB
docker_webui_1,80.20%,336.9MiB / 1.946GiB
docker_image_1,17.34%,323.8MiB / 1.946GiB
docker_persistence_1,5.57%,236.8MiB / 1.946GiB
docker_auth_1,16.87%,275.7MiB / 1.946GiB
docker_registry_1,2.17%,75.35MiB / 1.946GiB
docker_db_1,0.22%,38.26MiB / 1.946GiB
docker_recommender_1,11.16%,307MiB / 1.946GiB
docker_webui_1,52.10%,334.6MiB / 1.946GiB
docker_image_1,8.23%,324.6MiB / 1.946GiB
docker_persistence_1,21.10%,242.9MiB / 1.946GiB
docker_auth_1,91.04%,288.7MiB / 1.946GiB
docker_registry_1,0.95%,73.14MiB / 1.946GiB
docker_db_1,0.21%,37.62MiB / 1.946GiB
docker_recommender_1,5.68%,305.3MiB / 1.946GiB
docker_webui_1,70.51%,338.7MiB / 1.946GiB
docker_image_1,24.68%,325.8MiB / 1.946GiB
docker_persistence_1,43.04%,245.5MiB / 1.946GiB
docker_auth_1,11.32%,289.2MiB / 1.946GiB
docker_registry_1,4.58%,70.77MiB / 1.946GiB
docker_db_1,0.27%,37.08MiB / 1.946GiB
docker_recommender_1,34.42%,306MiB / 1.946GiB
docker_webui_1,62.25%,333.9MiB / 1.946GiB
docker_image_1,16.80%,325.1MiB / 1.946GiB
docker_persistence_1,56.58%,252MiB / 1.946GiB
docker_auth_1,72.86%,284.1MiB / 1.946GiB
docker_registry_1,1.13%,68.03MiB / 1.946GiB
docker_db_1,0.32%,35.68MiB / 1.946GiB
docker_recommender_1,15.57%,307MiB / 1.946GiB
docker_webui_1,57.40%,334.2MiB / 1.946GiB
docker_image_1,47.34%,323.3MiB / 1.946GiB
docker_persistence_1,45.70%,291.8MiB / 1.946GiB
docker_auth_1,48.54%,268.7MiB / 1.946GiB
docker_registry_1,3.95%,63.72MiB / 1.946GiB
docker_db_1,2.36%,38.64MiB / 1.946GiB
docker_recommender_1,60.33%,295.1MiB / 1.946GiB
docker_webui_1,44.83%,340.2MiB / 1.946GiB
docker_image_1,64.00%,317.2MiB / 1.946GiB
docker_persistence_1,29.09%,298.1MiB / 1.946GiB
