docker_webui_1,48.02%,344MiB / 1.946GiB
docker_persistence_1,31.51%,296.5MiB / 1.946GiB
docker_image_1,26.67%,334.9MiB / 1.946GiB
docker_registry_1,4.17%,91.05MiB / 1.946GiB
docker_auth_1,21.56%,265.3MiB / 1.946GiB
docker_recommender_1,16.19%,222.6MiB / 1.946GiB
docker_db_1,0.13%,40.77MiB / 1.946GiB
docker_webui_1,73.27%,359.5MiB / 1.946GiB
docker_persistence_1,62.32%,286.4MiB / 1.946GiB
docker_image_1,27.41%,332.2MiB / 1.946GiB
docker_registry_1,3.21%,84.91MiB / 1.946GiB
docker_auth_1,27.17%,256.2MiB / 1.946GiB
docker_recommender_1,23.42%,216.1MiB / 1.946GiB
docker_db_1,0.53%,42.74MiB / 1.946GiB
docker_webui_1,97.01%,388MiB / 1.946GiB
docker_persistence_1,13.05%,287.1MiB / 1.946GiB
docker_image_1,27.36%,333.1MiB / 1.946GiB
docker_registry_1,3.17%,83.41MiB / 1.946GiB
docker_auth_1,82.37%,254.9MiB / 1.946GiB
docker_recommender_1,0.71%,212.1MiB / 1.946GiB
docker_db_1,0.31%,41.45MiB / 1.946GiB
docker_webui_1,73.01%,398.1MiB / 1.946GiB
docker_persistence_1,0.32%,287.1MiB / 1.946GiB
docker_image_1,12.49%,333.2MiB / 1.946GiB
docker_registry_1,5.17%,80.88MiB / 1.946GiB
docker_auth_1,90.61%,260.8MiB / 1.946GiB
docker_recommender_1,20.09%,211.9MiB / 1.946GiB
docker_db_1,0.13%,39.91MiB / 1.946GiB
docker_webui_1,41.29%,396.8MiB / 1.946GiB
docker_persistence_1,51.67%,274MiB / 1.946GiB
docker_image_1,31.99%,329.8MiB / 1.946GiB
docker_registry_1,1.04%,73.17MiB / 1.946GiB
docker_auth_1,51.81%,291.1MiB / 1.946GiB
docker_recommender_1,13.85%,209.1MiB / 1.946GiB
docker_db_1,0.33%,37.43MiB / 1.946GiB
docker_webui_1,42.32%,400MiB / 1.946GiB
docker_persistence_1,32.79%,267.6MiB / 1.946GiB
docker_image_1,50.54%,331.3MiB / 1.946GiB
docker_registry_1,23.15%,70.71MiB / 1.946GiB
docker_auth_1,46.78%,300.1MiB / 1.946GiB
docker_recommender_1,13.06%,209.8MiB / 1.946GiB
docker_db_1,0.13%,36.59MiB / 1.946GiB
docker_webui_1,68.53%,414MiB / 1.946GiB
docker_persistence_1,4.37%,264.1MiB / 1.946GiB
docker_image_1,63.39%,329.8MiB / 1.946GiB
docker_registry_1,5.97%,65.43MiB / 1.946GiB
docker_auth_1,65.51%,303.3MiB / 1.946GiB
docker_recommender_1,20.40%,203.9MiB / 1.946GiB
docker_db_1,0.12%,37.16MiB / 1.946GiB
docker_webui_1,45.69%,423MiB / 1.946GiB
