docker_db_1,0.12%,74.21MiB / 1.946GiB
docker_recommender_1,53.00%,249.3MiB / 1.946GiB
docker_image_1,63.59%,272.5MiB / 1.946GiB
docker_persistence_1,42.12%,297.2MiB / 1.946GiB
docker_auth_1,12.10%,263.6MiB / 1.946GiB
docker_webui_1,37.75%,351.3MiB / 1.946GiB
docker_registry_1,5.09%,117.2MiB / 1.946GiB
docker_db_1,1.56%,84.46MiB / 1.946GiB
docker_recommender_1,8.94%,239.4MiB / 1.946GiB
docker_image_1,57.14%,267.7MiB / 1.946GiB
docker_persistence_1,68.23%,315.6MiB / 1.946GiB
docker_auth_1,16.89%,235.6MiB / 1.946GiB
docker_webui_1,54.54%,362.1MiB / 1.946GiB
docker_registry_1,2.58%,102.6MiB / 1.946GiB
docker_db_1,0.10%,80.56MiB / 1.946GiB
docker_recommender_1,58.91%,226.2MiB / 1.946GiB
docker_image_1,58.92%,274.3MiB / 1.946GiB
docker_persistence_1,33.52%,314.7MiB / 1.946GiB
docker_auth_1,10.20%,236.7MiB / 1.946GiB
docker_webui_1,51.55%,365.4MiB / 1.946GiB
docker_registry_1,4.66%,95.94MiB / 1.946GiB
docker_db_1,0.12%,77.62MiB / 1.946GiB
docker_recommender_1,60.97%,226.6MiB / 1.946GiB
docker_image_1,64.25%,279.7MiB / 1.946GiB
docker_persistence_1,29.17%,311.1MiB / 1.946GiB
docker_auth_1,5.14%,234.4MiB / 1.946GiB
docker_webui_1,48.75%,366.4MiB / 1.946GiB
docker_registry_1,11.65%,95.49MiB / 1.946GiB
docker_db_1,0.14%,71.16MiB / 1.946GiB
docker_recommender_1,24.98%,224.6MiB / 1.946GiB
docker_image_1,93.37%,285.1MiB / 1.946GiB
docker_persistence_1,18.04%,309.3MiB / 1.946GiB
docker_auth_1,23.05%,229.7MiB / 1.946GiB
docker_webui_1,76.74%,396.7MiB / 1.946GiB
docker_registry_1,9.21%,87.83MiB / 1.946GiB
docker_db_1,0.14%,65.2MiB / 1.946GiB
docker_recommender_1,15.50%,215.1MiB / 1.946GiB
docker_image_1,81.42%,319.8MiB / 1.946GiB
docker_persistence_1,20.71%,301.6MiB / 1.946GiB
docker_auth_1,27.96%,217.2MiB / 1.946GiB
docker_webui_1,66.25%,425.8MiB / 1.946GiB
docker_registry_1,7.23%,80.23MiB / 1.946GiB
docker_db_1,1.13%,56.94MiB / 1.946GiB
docker_recommender_1,8.37%,207.7MiB / 1.946GiB
docker_image_1,67.02%,326.6MiB / 1.946GiB
docker_persistence_1,62.21%,281.6MiB / 1.946GiB
docker_auth_1,19.35%,208.3MiB / 1.946GiB
docker_webui_1,58.11%,443.1MiB / 1.946GiB
docker_registry_1,5.63%,71.16MiB / 1.946GiB
docker_db_1,0.17%,53.74MiB / 1.946GiB
docker_recommender_1,54.37%,211.8MiB / 1.946GiB
docker_image_1,42.92%,331.8MiB / 1.946GiB
docker_persistence_1,31.28%,273.1MiB / 1.946GiB
docker_auth_1,35.66%,205.5MiB / 1.946GiB
docker_webui_1,54.51%,450.2MiB / 1.946GiB
docker_registry_1,7.92%,70.29MiB / 1.946GiB
docker_db_1,0.14%,51.21MiB / 1.946GiB
docker_recommender_1,20.84%,213.9MiB / 1.946GiB
docker_image_1,94.46%,351.4MiB / 1.946GiB
docker_persistence_1,2.66%,268.8MiB / 1.946GiB
docker_auth_1,18.27%,201MiB / 1.946GiB
docker_webui_1,75.09%,452.7MiB / 1.946GiB
docker_registry_1,4.32%,68.79MiB / 1.946GiB
docker_db_1,0.12%,47.62MiB / 1.946GiB
docker_recommender_1,67.84%,209.6MiB / 1.946GiB
docker_image_1,66.08%,355.1MiB / 1.946GiB
docker_persistence_1,18.59%,261.8MiB / 1.946GiB
docker_auth_1,6.02%,194.4MiB / 1.946GiB
docker_webui_1,85.61%,492.8MiB / 1.946GiB
docker_registry_1,5.64%,64.11MiB / 1.946GiB
docker_db_1,0.33%,42.11MiB / 1.946GiB
docker_recommender_1,27.50%,220.8MiB / 1.946GiB
docker_image_1,54.35%,367.6MiB / 1.946GiB
docker_persistence_1,48.95%,255.4MiB / 1.946GiB
docker_auth_1,27.12%,168.4MiB / 1.946GiB
docker_webui_1,52.28%,493.9MiB / 1.946GiB
docker_registry_1,2.67%,61.33MiB / 1.946GiB
docker_db_1,0.18%,40.38MiB / 1.946GiB
docker_recommender_1,33.94%,219.3MiB / 1.946GiB
docker_image_1,86.78%,370.8MiB / 1.946GiB
docker_persistence_1,32.07%,258.8MiB / 1.946GiB
docker_auth_1,8.50%,173MiB / 1.946GiB
