docker_webui_1,52.27%,316.7MiB / 1.946GiB
docker_auth_1,20.92%,250.8MiB / 1.946GiB
docker_persistence_1,82.99%,299.5MiB / 1.946GiB
docker_recommender_1,54.61%,237.3MiB / 1.946GiB
docker_db_1,0.20%,76.58MiB / 1.946GiB
docker_image_1,36.55%,244.5MiB / 1.946GiB
docker_registry_1,16.57%,150.3MiB / 1.946GiB
docker_webui_1,37.29%,335.1MiB / 1.946GiB
docker_auth_1,40.04%,273.2MiB / 1.946GiB
docker_persistence_1,42.53%,312.6MiB / 1.946GiB
docker_recommender_1,39.07%,240.1MiB / 1.946GiB
docker_db_1,0.11%,70.99MiB / 1.946GiB
docker_image_1,41.87%,243.7MiB / 1.946GiB
docker_registry_1,1.66%,142.9MiB / 1.946GiB
docker_webui_1,49.99%,328.4MiB / 1.946GiB
docker_auth_1,32.43%,276MiB / 1.946GiB
docker_persistence_1,43.00%,329.1MiB / 1.946GiB
docker_recommender_1,45.75%,245.1MiB / 1.946GiB
docker_db_1,2.22%,75.3MiB / 1.946GiB
docker_image_1,52.33%,248.6MiB / 1.946GiB
docker_registry_1,2.11%,129.2MiB / 1.946GiB
docker_webui_1,57.11%,336.5MiB / 1.946GiB
docker_auth_1,49.91%,282.8MiB / 1.946GiB
docker_persistence_1,17.93%,329.6MiB / 1.946GiB
docker_recommender_1,39.64%,249.5MiB / 1.946GiB
docker_db_1,0.60%,66.97MiB / 1.946GiB
docker_image_1,59.71%,257.9MiB / 1.946GiB
docker_registry_1,3.53%,108.4MiB / 1.946GiB
docker_webui_1,52.74%,382.1MiB / 1.946GiB
docker_auth_1,29.01%,250.7MiB / 1.946GiB
docker_persistence_1,59.89%,326MiB / 1.946GiB
docker_recommender_1,7.16%,241.8MiB / 1.946GiB
docker_db_1,5.75%,60.42MiB / 1.946GiB
docker_image_1,58.54%,275.6MiB / 1.946GiB
docker_registry_1,5.38%,92.38MiB / 1.946GiB
docker_webui_1,43.61%,383.4MiB / 1.946GiB
docker_auth_1,13.86%,236.2MiB / 1.946GiB
docker_persistence_1,45.92%,325.2MiB / 1.946GiB
docker_recommender_1,45.49%,243.6MiB / 1.946GiB
docker_db_1,0.34%,58.3MiB / 1.946GiB
docker_image_1,51.32%,283.5MiB / 1.946GiB
docker_registry_1,19.50%,87.9MiB / 1.946GiB
docker_webui_1,77.66%,400.6MiB / 1.946GiB
docker_auth_1,28.15%,221.7MiB / 1.946GiB
docker_persistence_1,0.33%,320.7MiB / 1.946GiB
docker_recommender_1,22.81%,240.9MiB / 1.946GiB
docker_db_1,0.11%,54.55MiB / 1.946GiB
docker_image_1,76.16%,291.8MiB / 1.946GiB
docker_registry_1,25.57%,83.61MiB / 1.946GiB
docker_webui_1,56.08%,415.7MiB / 1.946GiB
docker_auth_1,26.37%,219.9MiB / 1.946GiB
docker_persistence_1,50.66%,313.4MiB / 1.946GiB
docker_recommender_1,18.19%,240.8MiB / 1.946GiB
docker_db_1,0.73%,48.8MiB / 1.946GiB
docker_image_1,62.20%,287MiB / 1.946GiB
docker_registry_1,8.78%,78.76MiB / 1.946GiB
docker_webui_1,46.95%,439.9MiB / 1.946GiB
docker_auth_1,49.16%,218.7MiB / 1.946GiB
docker_persistence_1,14.79%,310.3MiB / 1.946GiB
docker_recommender_1,44.85%,241.9MiB / 1.946GiB
docker_db_1,0.11%,47.27MiB / 1.946GiB
docker_image_1,45.85%,285.9MiB / 1.946GiB
docker_registry_1,3.54%,76.35MiB / 1.946GiB
docker_webui_1,49.66%,442.9MiB / 1.946GiB
docker_auth_1,51.62%,211.5MiB / 1.946GiB
docker_persistence_1,42.43%,311.3MiB / 1.946GiB
docker_recommender_1,5.94%,242.8MiB / 1.946GiB
docker_db_1,0.15%,44.41MiB / 1.946GiB
docker_image_1,56.12%,289.9MiB / 1.946GiB
docker_registry_1,25.68%,74.1MiB / 1.946GiB
docker_webui_1,54.50%,476.4MiB / 1.946GiB
docker_auth_1,20.17%,202.2MiB / 1.946GiB
docker_persistence_1,36.75%,291.8MiB / 1.946GiB
docker_recommender_1,20.19%,232.2MiB / 1.946GiB
docker_db_1,0.12%,42.4MiB / 1.946GiB
docker_image_1,68.94%,290.2MiB / 1.946GiB
docker_registry_1,5.90%,75.66MiB / 1.946GiB
docker_webui_1,84.31%,507.8MiB / 1.946GiB
docker_auth_1,17.92%,183.7MiB / 1.946GiB
docker_persistence_1,15.13%,286.7MiB / 1.946GiB
docker_recommender_1,13.29%,234.1MiB / 1.946GiB
docker_db_1,0.11%,37.95MiB / 1.946GiB
docker_image_1,90.33%,292.4MiB / 1.946GiB
docker_registry_1,2.99%,69.99MiB / 1.946GiB
docker_webui_1,84.50%,504.1MiB / 1.946GiB
docker_auth_1,14.69%,189.1MiB / 1.946GiB
docker_persistence_1,0.51%,281.6MiB / 1.946GiB
docker_recommender_1,11.73%,238.4MiB / 1.946GiB
docker_db_1,0.14%,35.88MiB / 1.946GiB
docker_image_1,103.39%,296.7MiB / 1.946GiB
docker_registry_1,1.37%,68.82MiB / 1.946GiB
docker_webui_1,55.64%,504.8MiB / 1.946GiB
docker_auth_1,34.46%,196.6MiB / 1.946GiB
docker_persistence_1,46.13%,283MiB / 1.946GiB
docker_recommender_1,22.82%,232.3MiB / 1.946GiB
docker_db_1,0.82%,33.97MiB / 1.946GiB
docker_image_1,84.02%,297.5MiB / 1.946GiB
docker_registry_1,2.23%,67.06MiB / 1.946GiB
docker_webui_1,56.83%,500.3MiB / 1.946GiB
docker_auth_1,21.38%,194.7MiB / 1.946GiB
docker_persistence_1,57.29%,286.1MiB / 1.946GiB
docker_recommender_1,33.67%,232.4MiB / 1.946GiB
docker_db_1,0.35%,32.97MiB / 1.946GiB
docker_image_1,60.57%,299MiB / 1.946GiB
docker_registry_1,1.52%,65.89MiB / 1.946GiB
docker_webui_1,52.85%,500.3MiB / 1.946GiB
docker_auth_1,20.59%,189MiB / 1.946GiB
docker_persistence_1,62.78%,282.9MiB / 1.946GiB
docker_recommender_1,12.44%,231.5MiB / 1.946GiB
docker_db_1,0.16%,31.23MiB / 1.946GiB
docker_image_1,55.96%,302.3MiB / 1.946GiB
docker_registry_1,5.27%,65.02MiB / 1.946GiB
docker_webui_1,74.07%,507.1MiB / 1.946GiB
docker_auth_1,3.14%,186MiB / 1.946GiB
docker_persistence_1,34.87%,285.6MiB / 1.946GiB
docker_recommender_1,24.50%,225.9MiB / 1.946GiB
docker_db_1,0.12%,29.83MiB / 1.946GiB
docker_image_1,79.40%,308.7MiB / 1.946GiB
docker_registry_1,18.05%,65.91MiB / 1.946GiB
docker_webui_1,42.26%,491.1MiB / 1.946GiB
docker_auth_1,8.05%,182.3MiB / 1.946GiB
docker_persistence_1,15.29%,276.7MiB / 1.946GiB
docker_recommender_1,49.36%,230.2MiB / 1.946GiB
docker_db_1,0.25%,27.3MiB / 1.946GiB
docker_image_1,51.27%,322.9MiB / 1.946GiB
docker_registry_1,16.06%,65.81MiB / 1.946GiB
docker_webui_1,49.18%,488.4MiB / 1.946GiB
docker_auth_1,40.98%,183.8MiB / 1.946GiB
docker_persistence_1,49.20%,273.9MiB / 1.946GiB
docker_recommender_1,36.97%,234.8MiB / 1.946GiB
docker_db_1,2.16%,26.23MiB / 1.946GiB
docker_image_1,58.10%,322MiB / 1.946GiB
docker_registry_1,2.19%,81.6MiB / 1.946GiB
docker_webui_1,58.95%,487.3MiB / 1.946GiB
docker_auth_1,44.81%,183.7MiB / 1.946GiB
docker_persistence_1,40.65%,271.9MiB / 1.946GiB
docker_recommender_1,46.23%,235.2MiB / 1.946GiB
docker_db_1,0.21%,25.88MiB / 1.946GiB
docker_image_1,44.68%,318.2MiB / 1.946GiB
docker_registry_1,5.91%,82.35MiB / 1.946GiB
docker_webui_1,66.32%,484.2MiB / 1.946GiB
docker_auth_1,7.10%,180.1MiB / 1.946GiB
docker_persistence_1,59.66%,275.3MiB / 1.946GiB
docker_recommender_1,22.01%,234.3MiB / 1.946GiB
docker_db_1,0.16%,24.52MiB / 1.946GiB
docker_image_1,67.05%,318.4MiB / 1.946GiB
docker_registry_1,2.19%,76.93MiB / 1.946GiB
docker_webui_1,46.26%,485.5MiB / 1.946GiB
docker_auth_1,38.96%,184.3MiB / 1.946GiB
docker_persistence_1,37.47%,274.1MiB / 1.946GiB
docker_recommender_1,46.81%,239MiB / 1.946GiB
docker_db_1,2.11%,24.52MiB / 1.946GiB
docker_image_1,48.50%,321.2MiB / 1.946GiB
docker_registry_1,2.53%,77.51MiB / 1.946GiB
docker_webui_1,44.67%,482.8MiB / 1.946GiB
docker_auth_1,37.59%,184.2MiB / 1.946GiB
docker_persistence_1,41.81%,274.6MiB / 1.946GiB
docker_recommender_1,41.29%,246.7MiB / 1.946GiB
docker_db_1,0.19%,23.71MiB / 1.946GiB
docker_image_1,44.50%,321.5MiB / 1.946GiB
docker_registry_1,37.50%,78.73MiB / 1.946GiB
docker_webui_1,54.74%,473MiB / 1.946GiB
docker_auth_1,20.20%,183.4MiB / 1.946GiB
docker_persistence_1,51.97%,270.4MiB / 1.946GiB
docker_recommender_1,41.00%,246.8MiB / 1.946GiB
docker_db_1,0.16%,22.52MiB / 1.946GiB
docker_image_1,56.94%,323.2MiB / 1.946GiB
docker_registry_1,2.04%,79.05MiB / 1.946GiB
docker_webui_1,51.56%,472.2MiB / 1.946GiB
docker_auth_1,52.19%,183.9MiB / 1.946GiB
docker_persistence_1,37.84%,270.9MiB / 1.946GiB
docker_recommender_1,45.66%,247MiB / 1.946GiB
docker_db_1,0.32%,22.52MiB / 1.946GiB
docker_image_1,35.58%,324.9MiB / 1.946GiB
docker_registry_1,3.91%,80.03MiB / 1.946GiB
docker_webui_1,55.29%,472.6MiB / 1.946GiB
docker_auth_1,15.11%,185.7MiB / 1.946GiB
docker_persistence_1,58.52%,272.1MiB / 1.946GiB
docker_recommender_1,41.42%,250.7MiB / 1.946GiB
docker_db_1,0.14%,22.52MiB / 1.946GiB
docker_image_1,53.27%,325.9MiB / 1.946GiB
docker_registry_1,0.81%,80.41MiB / 1.946GiB
docker_webui_1,56.82%,467.4MiB / 1.946GiB
docker_auth_1,20.15%,186.2MiB / 1.946GiB
docker_persistence_1,54.65%,280.7MiB / 1.946GiB
docker_recommender_1,47.70%,240.3MiB / 1.946GiB
docker_db_1,0.25%,21.95MiB / 1.946GiB
docker_image_1,45.90%,332MiB / 1.946GiB
docker_registry_1,1.56%,80.77MiB / 1.946GiB
docker_webui_1,54.22%,469.1MiB / 1.946GiB
docker_auth_1,23.37%,187.3MiB / 1.946GiB
docker_persistence_1,44.07%,282.2MiB / 1.946GiB
docker_recommender_1,38.40%,240.5MiB / 1.946GiB
docker_db_1,2.12%,21.95MiB / 1.946GiB
docker_image_1,34.20%,333.2MiB / 1.946GiB
docker_registry_1,2.60%,81.28MiB / 1.946GiB
docker_webui_1,49.81%,461.2MiB / 1.946GiB
docker_auth_1,35.35%,184.5MiB / 1.946GiB
docker_persistence_1,53.38%,281.7MiB / 1.946GiB
docker_recommender_1,39.49%,252.8MiB / 1.946GiB
docker_db_1,0.11%,20.66MiB / 1.946GiB
docker_image_1,38.45%,332.6MiB / 1.946GiB
docker_registry_1,0.50%,79.42MiB / 1.946GiB
docker_webui_1,50.84%,461.4MiB / 1.946GiB
docker_auth_1,22.29%,185.3MiB / 1.946GiB
docker_persistence_1,56.01%,279MiB / 1.946GiB
docker_recommender_1,12.78%,255.2MiB / 1.946GiB
docker_db_1,0.37%,20.66MiB / 1.946GiB
docker_image_1,62.16%,333.8MiB / 1.946GiB
docker_registry_1,3.19%,81.82MiB / 1.946GiB
docker_webui_1,52.30%,459.5MiB / 1.946GiB
docker_auth_1,47.00%,183.8MiB / 1.946GiB
docker_persistence_1,47.60%,278.9MiB / 1.946GiB
docker_recommender_1,22.25%,248.2MiB / 1.946GiB
docker_db_1,2.01%,19.83MiB / 1.946GiB
docker_image_1,55.90%,335MiB / 1.946GiB
docker_registry_1,4.68%,80.71MiB / 1.946GiB
docker_webui_1,75.63%,460.2MiB / 1.946GiB
docker_auth_1,27.55%,185.3MiB / 1.946GiB
docker_persistence_1,54.29%,287.3MiB / 1.946GiB
docker_recommender_1,12.49%,250.1MiB / 1.946GiB
docker_db_1,0.33%,19.83MiB / 1.946GiB
docker_image_1,52.91%,335.9MiB / 1.946GiB
docker_registry_1,7.51%,81.41MiB / 1.946GiB
docker_webui_1,62.99%,460.7MiB / 1.946GiB
docker_auth_1,4.47%,185.5MiB / 1.946GiB
docker_persistence_1,20.90%,287.6MiB / 1.946GiB
docker_recommender_1,32.32%,251.2MiB / 1.946GiB
docker_db_1,0.10%,19.83MiB / 1.946GiB
docker_image_1,24.34%,336.3MiB / 1.946GiB
docker_registry_1,16.04%,82.99MiB / 1.946GiB
docker_webui_1,113.76%,454.7MiB / 1.946GiB
docker_auth_1,4.32%,179.9MiB / 1.946GiB
docker_persistence_1,5.49%,277.2MiB / 1.946GiB
docker_recommender_1,2.91%,246.3MiB / 1.946GiB
docker_db_1,0.10%,17.89MiB / 1.946GiB
docker_image_1,30.67%,335.4MiB / 1.946GiB
docker_registry_1,7.84%,88.75MiB / 1.946GiB
